Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6146162413255707 (0.24789555646066516),0.7801243041952451 (0.13632065872465784),0.5910543742383895 (0.27699997372025403)
Spectralis,0.6815887634952863 (0.1850525704454003),0.8379877397888585 (0.14796502434751851),0.7480150683058633 (0.2171805983920694)
Topcon,0.5723613854332835 (0.2575392766638417),0.6490724334811292 (0.27002920338441877),0.5150672194280036 (0.2163307744961742)
