Volume,dice_PED
TRAIN004,0.2 (0.405839724956714)
TRAIN007,0.4609375 (0.5004304249705651)
TRAIN018,0.8359375 (0.3717874202104903)
TRAIN022,0.421875 (0.49579928311148064)
TRAIN024,0.0707070707070707 (0.25763941153881403)
TRAIN026,0.4489795918367347 (0.5025445456953674)
TRAIN034,0.30612244897959184 (0.465657314657332)
TRAIN040,0.5714285714285714 (0.4999999999999999)
TRAIN043,0.5217391304347826 (0.5107539184552492)
TRAIN044,0.22727272727272727 (0.4289320272288885)
TRAIN052,0.8984375 (0.30325903664538434)
TRAIN054,0.765625 (0.4252720296617195)
TRAIN059,0.71875 (0.4513758494650716)
TRAIN069,0.208955223880597 (0.40963078101212164)
