Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.18478260869565216 (0.39024781718172097),0.484375 (0.5017194843185601),0.734375 (0.4434008690887529)
TRAIN005,0.4375 (0.4980276057238114),0.1095890410958904 (0.3145386319505849),0.2753623188405797 (0.44996921368592785)
TRAIN006,0.37662337662337664 (0.4877165116767451),0.296875 (0.4586762019853621),0.734375 (0.4434008690887531)
TRAIN009,0.7252747252747253 (0.4488487512127014),0.0 (0.0),0.15789473684210525 (0.3662521827757253)
TRAIN020,0.2911392405063291 (0.4571903809859547),0.0 (0.0),0.04225352112676056 (0.20259880963617724)
TRAIN030,0.3333333333333333 (0.47946330148538413),0.8275862068965517 (0.3844258722192448),0.9411764705882353 (0.24253562503633297)
TRAIN036,0.11538461538461539 (0.32581259360842113),0.8163265306122449 (0.3912303982179758),0.8163265306122449 (0.3912303982179759)
TRAIN038,0.4897959183673469 (0.5050762722761054),1.0 (0.0),0.75 (0.4472135954999579)
TRAIN045,0.16666666666666666 (0.3790490217894516),0.5510204081632653 (0.5025445456953673),0.4444444444444444 (0.5039526306789697)
TRAIN047,0.44 (0.5066228051190221),0.5510204081632653 (0.5025445456953674),0.6326530612244898 (0.48707791774949477)
TRAIN055,0.08064516129032258 (0.2733940303482413),0.859375 (0.3490002594588752),0.42424242424242425 (0.4980147066288787)
TRAIN058,0.1796875 (0.3854355088676483),0.8984375 (0.3032590366453844),0.8829787234042553 (0.32316921825641176)
TRAIN061,0.02666666666666667 (0.16219218941214866),0.8727272727272727 (0.33634998607300876),0.6376811594202898 (0.4841917003915368)
TRAIN066,0.2111111111111111 (0.4103833353069152),0.9609375 (0.19450497433065836),0.734375 (0.443400869088753)
