Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.43902439024390244 (0.5024331043932554),0.9745762711864406 (0.15807952162954783),0.9375 (0.2430125883781254)
TRAIN010,0.8297872340425532 (0.3778347443378208),0.9375 (0.2430125883781254),0.828125 (0.3787541741148854)
TRAIN011,0.648936170212766 (0.4798621398915568),0.3333333333333333 (0.47413732351544285),0.3490566037735849 (0.47893637772501246)
TRAIN013,0.4782608695652174 (0.5022643424142051),0.8412698412698413 (0.3683594495540746),0.8709677419354839 (0.33797230305290277)
TRAIN015,0.3515625 (0.4793342454880914),1.0 (0.0),0.8181818181818182 (0.3901536532574131)
TRAIN028,0.8571428571428571 (0.35355339059327373),1.0 (0.0),0.9473684210526315 (0.2262942859214143)
TRAIN029,0.96875 (0.1767766952966369),0.9302325581395349 (0.2577696311132336),0.9795918367346939 (0.14285714285714285)
TRAIN032,nan (nan),1.0 (0.0),0.5714285714285714 (0.5)
TRAIN041,1.0 (0.0),0.9795918367346939 (0.14285714285714285),0.9183673469387755 (0.27664166758624403)
TRAIN046,0.7692307692307693 (0.4385290096535146),0.5652173913043478 (0.5012062743707415),0.6666666666666666 (0.4879500364742666)
TRAIN049,0.9375 (0.2430125883781254),0.8899082568807339 (0.31444982939885724),0.7878787878787878 (0.41089070180665904)
TRAIN050,0.978021978021978 (0.14742395237484895),0.9609375 (0.19450497433065847),0.9761904761904762 (0.1533709949008578)
TRAIN051,0.8860759493670886 (0.31974917141296777),1.0 (0.0),0.9765625 (0.15188286773632836)
TRAIN056,1.0 (0.0),0.953125 (0.21304202581158674),0.875 (0.33333333333333326)
