Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.8051391862955032 (0.396518285797602),0.908315565031983 (0.2888881178767562),0.8254901960784313 (0.37991992603493413)
Spectralis,0.86875 (0.3387337686705237),0.9243243243243243 (0.2651962003439167),0.874251497005988 (0.3325628977299492)
Topcon,0.8105515587529976 (0.3923351354558875),0.9544419134396356 (0.2087625984976482),0.9131652661064426 (0.2819879432502076)
