Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6967975395527901 (0.39438390114669075),0.787320659699617 (0.3315817554508579),0.4280320651353122 (0.45470496268161403)
Spectralis,0.6281902896582472 (0.38425436051045303),0.6311270523474228 (0.4270643548421178),0.17798205115357224 (0.3322537260166033)
Topcon,0.809513132320717 (0.33547222991962083),0.8636413077486699 (0.3059600669885935),0.5311062153842714 (0.4864663883304177)
