Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.10561220634335769 (0.22808667285267156),0.15188663833432656 (0.2942936659857586),0.08545956149482663 (0.19699518484160644)
Spectralis,0.28976585627818596 (0.33940782890881854),0.40553196355396387 (0.4530177486609886),0.25624053283613557 (0.3958023351444341)
Topcon,0.4330366364114785 (0.46618826103787403),0.4426374145716961 (0.4801039559888637),0.06533523884302538 (0.1688095622589929)
