Volume,dice_PED
TRAIN008,0.59375 (0.49306210178888477)
TRAIN017,0.40875635284464806 (0.350508504494809)
TRAIN019,0.46875 (0.5009832851188788)
TRAIN021,0.328125 (0.47137552109731334)
TRAIN023,0.4790079463273287 (0.4657218531137353)
TRAIN025,0.2927701468674504 (0.3105150767701457)
TRAIN031,0.4716793771605102 (0.4332779302717967)
TRAIN035,0.5966919554131371 (0.34105825417811075)
TRAIN037,0.02040816326530612 (0.14285714285714282)
TRAIN053,0.7096308482578024 (0.33746528521757974)
TRAIN057,0.6232838148716837 (0.31436611174733936)
TRAIN060,0.234375 (0.4252720296617194)
TRAIN065,0.8828125 (0.32290740609869234)
TRAIN070,0.4921875 (0.5019033653891717)
