Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.672364954976365 (0.18138746699432626),0.5801780857693624 (0.25252347620233156),0.653676067357478 (0.19665679417311863)
Spectralis,0.5665894250703764 (0.17354759965966124),0.8312912754348067 (0.16851835787402517),0.6246153537505938 (0.16420657575605854)
Topcon,0.4035761508236548 (0.2025956532299407),0.5318672681967609 (0.2028181540260946),0.6711248682534441 (0.15527401068596408)
