Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.20686794960625127 (0.1656566932857869),0.27280143573880195 (0.18545203399005425),nan (nan)
TRAIN010,0.17934824712574482 (0.18668918661739642),nan (nan),nan (nan)
TRAIN011,0.4406199760406333 (0.2201215995612077),0.4681456934024648 (0.2719045865757583),0.016437191362704405 (0.02821947218744229)
TRAIN013,0.07569244009856549 (0.14421731070109128),0.14850529608173438 (0.19538233822290524),0.12913139933494455 (0.0804269252734032)
TRAIN015,nan (nan),0.3628577900864184 (0.17664460266544238),0.3554936804409538 (0.10605933850361587)
TRAIN028,nan (nan),0.7405356594494411 (0.12085695868220023),0.11104767435145649 (0.1557027039526527)
TRAIN029,0.6739823432529674 (0.15654016487880174),0.8590772052605947 (0.05950678674486712),nan (nan)
TRAIN032,0.6358972973361308 (0.1409780235214706),0.8394169448053136 (0.12419948309672199),nan (nan)
TRAIN041,0.44935890038808185 (0.23403807549812092),nan (nan),nan (nan)
TRAIN046,0.41356049152091146 (0.19690377412205345),0.40897153690457344 (0.3204905818822929),0.35594770605816983 (0.1986397821961643)
TRAIN049,nan (nan),0.33987087785805525 (0.30487637810472024),0.36573795794413005 (0.179071844641373)
TRAIN050,0.09174364524408923 (0.1376969738799487),nan (nan),0.23890185804868286 (0.163227650644463)
TRAIN051,0.10399711547105821 (0.10002753856433595),0.24509862257929688 (0.263807909750269),nan (nan)
TRAIN056,0.22068964569243016 (0.24020321575874737),nan (nan),nan (nan)
