Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.6429662159644067 (0.382315006587617),0.8512421033810824 (0.335304459182762),0.8984375 (0.30325903664538434)
TRAIN017,0.6082511933054775 (0.42418236099631007),0.78125 (0.4150230047698428),0.8090597987174988 (0.289848180166767)
TRAIN019,0.6241238610818982 (0.43691980909791844),0.984375 (0.12450690143095285),0.984375 (0.12450690143095285)
TRAIN021,0.7237665671855211 (0.3623791278656144),0.880216529709287 (0.28273051555499623),0.8671875 (0.3407054688956917)
TRAIN023,0.84375 (0.3645188825671882),0.7734375 (0.4202519632297096),0.9310740875080228 (0.2048620486902261)
TRAIN025,0.6740796417758173 (0.3388145086292978),0.02040816326530612 (0.14285714285714285),0.5638249175889152 (0.3661359810055569)
TRAIN031,0.7551020408163265 (0.4344830378784443),0.5714285714285714 (0.5),0.7012060229875603 (0.4068755997312146)
TRAIN035,0.8979591836734694 (0.3058388709205983),0.9310745122481365 (0.05674218812386385),0.6448554189837709 (0.31185976589192826)
TRAIN037,0.610888269786932 (0.16131583815769732),0.5248614938891664 (0.4544889718024522),0.5714285714285714 (0.4999999999999999)
TRAIN053,0.5405997040797956 (0.31709769221180883),0.5665732573252171 (0.380802206447163),0.7264570990810171 (0.31882540155213906)
TRAIN057,0.703125 (0.458676201985362),0.6560799010330811 (0.3646211849798966),0.7681956531014293 (0.2796470089787358)
TRAIN060,0.7392367589054629 (0.37523934848128787),0.8515625 (0.35693012505703176),0.59375 (0.4930621017888847)
TRAIN065,0.831564245861955 (0.2999877089151979),0.8671875 (0.3407054688956917),0.8828125 (0.3229074060986924)
TRAIN070,0.8355102865025401 (0.31462210973705185),0.96875 (0.1746763035549529),0.859375 (0.3490002594588753)
