Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.0 (0.0),0.025423728813559324 (0.15807952162954783),0.2890625 (0.4551082548383927)
TRAIN010,0.010638297872340425 (0.10314212462587934),0.03125 (0.17467630355495292),0.0390625 (0.1945049743306584)
TRAIN011,0.7340425531914894 (0.44421083618813195),0.5747126436781609 (0.4972525423613138),0.14150943396226415 (0.35020209798623747)
TRAIN013,0.5869565217391305 (0.49507850222322625),0.9682539682539683 (0.17673143177130227),0.04838709677419355 (0.21633454320768036)
TRAIN015,0.0 (0.0),0.0 (0.0),0.29545454545454547 (0.4615215208036401)
TRAIN028,0.02040816326530612 (0.14285714285714282),0.2571428571428571 (0.4434395736311599),0.2631578947368421 (0.4462583499902142)
TRAIN029,0.15625 (0.36890203262847354),0.18604651162790697 (0.39374961547907883),0.6326530612244898 (0.48707791774949477)
TRAIN032,nan (nan),0.06666666666666667 (0.2581988897471611),0.2653061224489796 (0.4460712855998855)
TRAIN041,0.021739130434782608 (0.14744195615489714),0.1836734693877551 (0.39123039821797584),0.12244897959183673 (0.331200660553418)
TRAIN046,0.0 (0.0),0.043478260869565216 (0.20618457094236217),0.375 (0.49999999999999994)
TRAIN049,0.609375 (0.48980753089640705),0.14678899082568808 (0.35553007044241275),0.1919191919191919 (0.3958140069493493)
TRAIN050,0.8131868131868132 (0.39192085119568915),0.0078125 (0.08838834764831843),0.0 (0.0)
TRAIN051,0.6582278481012658 (0.47733437050543803),0.0660377358490566 (0.2495278560469677),0.078125 (0.26942268404342895)
TRAIN056,0.9459459459459459 (0.22924343513512563),0.03125 (0.17536809360305042),0.015625 (0.12499999999999997)
