Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.740909090909091 (0.43863433841057725),0.8646864686468647 (0.3423407283144687),0.8832116788321168 (0.3214613212657737)
Spectralis,0.6239316239316239 (0.4864809548403104),0.8148148148148148 (0.389894459220854),0.7913043478260869 (0.40815485911112004)
Topcon,0.7360178970917226 (0.4412835737981736),0.8140495867768595 (0.38946920084343767),0.7787610619469026 (0.41554096442422195)
