Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.1795375146260806 (0.1588277708932017),0.0998781468719244 (0.13097088594228706),nan (nan)
TRAIN010,0.13463178120882197 (0.11293432333253743),nan (nan),nan (nan)
TRAIN011,0.42364083008621545 (0.2066175509744589),0.042324406781983445 (0.08919618624816143),0.028729535144520923 (0.05014134894227792)
TRAIN013,0.1084701208746992 (0.12768149439933513),0.028832605516967865 (0.07143879473208448),0.060688187158313776 (0.07984826775262295)
TRAIN015,nan (nan),0.16052336165914313 (0.1298691476974061),0.3269333161768459 (0.10786982811904819)
TRAIN028,nan (nan),0.7638769724539348 (0.11179848875193578),0.11648557064208118 (0.15464564812536843)
TRAIN029,0.6755321060909945 (0.14567785131590058),0.8853927354017893 (0.032514066004643405),nan (nan)
TRAIN032,0.6231978918824878 (0.14381894164879952),0.8270165565259316 (0.14587835780228528),nan (nan)
TRAIN041,0.5028642217318217 (0.18193782587690774),nan (nan),nan (nan)
TRAIN046,0.3346702308238794 (0.20310192696564566),0.4117760012547175 (0.37322062359206964),0.3770932004307256 (0.1866688408378879)
TRAIN049,nan (nan),0.26430775597691536 (0.2975986657091694),0.27274615343274744 (0.13760765550074905)
TRAIN050,0.08875111875287886 (0.13835326850597912),nan (nan),0.24083717296492646 (0.17123610612801313)
TRAIN051,0.06956092090516978 (0.0808333842185975),0.1808213301383975 (0.22363998584693573),nan (nan)
TRAIN056,0.16809383276160117 (0.23531863239495338),nan (nan),nan (nan)
