Slice,PSNR,SSIM
Cirrus_TRAIN001_050.tiff,19.125,0.124
Cirrus_TRAIN001_051.tiff,19.411,0.138
Cirrus_TRAIN001_052.tiff,19.417,0.133
Cirrus_TRAIN001_053.tiff,18.977,0.131
Cirrus_TRAIN001_054.tiff,18.908,0.119
Cirrus_TRAIN001_055.tiff,18.882,0.121
Cirrus_TRAIN001_056.tiff,18.92,0.117
Cirrus_TRAIN001_057.tiff,19.327,0.129
Cirrus_TRAIN001_058.tiff,19.551,0.134
Cirrus_TRAIN001_059.tiff,19.354,0.128
Cirrus_TRAIN001_060.tiff,19.405,0.128
Cirrus_TRAIN001_061.tiff,19.478,0.127
Cirrus_TRAIN001_062.tiff,19.188,0.125
Cirrus_TRAIN001_063.tiff,19.274,0.126
Cirrus_TRAIN001_064.tiff,19.304,0.126
Cirrus_TRAIN001_065.tiff,19.227,0.127
Cirrus_TRAIN001_066.tiff,19.164,0.123
Cirrus_TRAIN001_067.tiff,19.084,0.122
Cirrus_TRAIN001_068.tiff,19.188,0.124
Cirrus_TRAIN001_069.tiff,19.108,0.121
Cirrus_TRAIN001_070.tiff,19.253,0.124
Cirrus_TRAIN001_071.tiff,19.449,0.127
Cirrus_TRAIN001_072.tiff,18.84,0.117
Cirrus_TRAIN001_073.tiff,19.393,0.124
Cirrus_TRAIN001_074.tiff,19.488,0.129
Cirrus_TRAIN001_075.tiff,19.117,0.123
Cirrus_TRAIN001_076.tiff,19.318,0.126
Cirrus_TRAIN001_077.tiff,19.356,0.125
Cirrus_TRAIN001_078.tiff,19.324,0.126
Cirrus_TRAIN001_079.tiff,19.166,0.124
Cirrus_TRAIN001_080.tiff,19.224,0.123
Cirrus_TRAIN001_081.tiff,19.163,0.122
Cirrus_TRAIN001_082.tiff,19.434,0.135
Cirrus_TRAIN001_083.tiff,19.402,0.134
Cirrus_TRAIN001_084.tiff,19.466,0.138
Cirrus_TRAIN001_085.tiff,19.372,0.13
Cirrus_TRAIN001_086.tiff,19.382,0.139
Cirrus_TRAIN001_087.tiff,19.593,0.145
Cirrus_TRAIN001_088.tiff,19.44,0.134
Cirrus_TRAIN001_089.tiff,19.383,0.138
Cirrus_TRAIN001_090.tiff,19.267,0.135
Cirrus_TRAIN001_091.tiff,19.375,0.135
Cirrus_TRAIN001_092.tiff,19.567,0.139
Cirrus_TRAIN001_093.tiff,19.414,0.132
Cirrus_TRAIN001_094.tiff,19.592,0.138
Cirrus_TRAIN001_095.tiff,19.156,0.133
Cirrus_TRAIN001_096.tiff,19.491,0.137
Cirrus_TRAIN001_097.tiff,19.333,0.14
Cirrus_TRAIN001_098.tiff,19.444,0.133
Cirrus_TRAIN001_099.tiff,19.2,0.14
Cirrus_TRAIN001_100.tiff,19.55,0.144
Cirrus_TRAIN001_101.tiff,19.734,0.152
Cirrus_TRAIN001_102.tiff,19.231,0.153
Cirrus_TRAIN001_103.tiff,19.311,0.153
Cirrus_TRAIN001_104.tiff,19.357,0.153
Cirrus_TRAIN001_105.tiff,19.599,0.158
Cirrus_TRAIN001_106.tiff,19.335,0.155
Cirrus_TRAIN001_107.tiff,19.65,0.157
Cirrus_TRAIN001_108.tiff,19.592,0.156
Cirrus_TRAIN001_109.tiff,19.384,0.15
Cirrus_TRAIN001_110.tiff,19.531,0.15
Cirrus_TRAIN001_111.tiff,19.373,0.142
Cirrus_TRAIN001_112.tiff,19.431,0.141
Cirrus_TRAIN001_113.tiff,19.637,0.144
Cirrus_TRAIN001_114.tiff,19.489,0.146
Cirrus_TRAIN001_115.tiff,19.478,0.148
Cirrus_TRAIN001_116.tiff,19.572,0.156
Cirrus_TRAIN001_117.tiff,19.312,0.149
Cirrus_TRAIN001_118.tiff,19.396,0.158
Cirrus_TRAIN001_119.tiff,19.343,0.15
Cirrus_TRAIN001_120.tiff,19.595,0.161
Cirrus_TRAIN001_121.tiff,19.431,0.152
Cirrus_TRAIN001_122.tiff,19.506,0.16
Cirrus_TRAIN001_123.tiff,19.6,0.157
Cirrus_TRAIN001_124.tiff,19.42,0.159
Cirrus_TRAIN001_125.tiff,19.183,0.154
Cirrus_TRAIN001_126.tiff,19.175,0.163
Cirrus_TRAIN014_001.tiff,19.381,0.121
Cirrus_TRAIN014_002.tiff,19.347,0.121
Cirrus_TRAIN014_003.tiff,19.522,0.127
Cirrus_TRAIN014_004.tiff,19.568,0.126
Cirrus_TRAIN014_005.tiff,19.66,0.128
Cirrus_TRAIN014_006.tiff,19.7,0.129
Cirrus_TRAIN014_007.tiff,19.693,0.131
Cirrus_TRAIN014_008.tiff,19.546,0.125
Cirrus_TRAIN014_009.tiff,19.437,0.121
Cirrus_TRAIN014_010.tiff,19.806,0.133
Cirrus_TRAIN014_011.tiff,19.662,0.128
Cirrus_TRAIN014_012.tiff,19.439,0.124
Cirrus_TRAIN014_013.tiff,19.644,0.132
Cirrus_TRAIN014_014.tiff,19.573,0.125
Cirrus_TRAIN014_015.tiff,19.641,0.127
Cirrus_TRAIN014_016.tiff,19.278,0.118
Cirrus_TRAIN014_017.tiff,19.567,0.127
Cirrus_TRAIN014_018.tiff,19.746,0.129
Cirrus_TRAIN014_019.tiff,19.726,0.132
Cirrus_TRAIN014_020.tiff,19.745,0.129
Cirrus_TRAIN014_021.tiff,19.639,0.126
Cirrus_TRAIN014_022.tiff,19.714,0.129
Cirrus_TRAIN014_023.tiff,19.578,0.122
Cirrus_TRAIN014_024.tiff,19.567,0.123
Cirrus_TRAIN014_025.tiff,19.574,0.123
Cirrus_TRAIN014_026.tiff,19.615,0.126
Cirrus_TRAIN014_027.tiff,19.688,0.123
Cirrus_TRAIN014_028.tiff,19.775,0.126
Cirrus_TRAIN014_029.tiff,19.756,0.13
Cirrus_TRAIN014_030.tiff,19.879,0.13
Cirrus_TRAIN014_031.tiff,19.686,0.127
Cirrus_TRAIN014_032.tiff,19.702,0.132
Cirrus_TRAIN014_033.tiff,19.701,0.122
Cirrus_TRAIN014_034.tiff,19.886,0.131
Cirrus_TRAIN014_035.tiff,19.995,0.133
Cirrus_TRAIN014_036.tiff,19.681,0.123
Cirrus_TRAIN014_037.tiff,20.083,0.138
Cirrus_TRAIN014_038.tiff,20.106,0.137
Cirrus_TRAIN014_039.tiff,19.839,0.128
Cirrus_TRAIN014_040.tiff,20.018,0.139
Cirrus_TRAIN014_041.tiff,20.118,0.137
Cirrus_TRAIN014_042.tiff,19.971,0.13
Cirrus_TRAIN014_043.tiff,20.043,0.131
Cirrus_TRAIN014_044.tiff,19.952,0.125
Cirrus_TRAIN014_045.tiff,19.998,0.13
Cirrus_TRAIN014_046.tiff,20.072,0.135
Cirrus_TRAIN014_047.tiff,20.14,0.129
Cirrus_TRAIN014_048.tiff,20.001,0.13
Cirrus_TRAIN014_049.tiff,19.989,0.129
Cirrus_TRAIN014_050.tiff,20.001,0.13
Cirrus_TRAIN014_051.tiff,20.007,0.128
Cirrus_TRAIN014_052.tiff,20.1,0.133
Cirrus_TRAIN014_053.tiff,20.163,0.132
Cirrus_TRAIN014_054.tiff,20.103,0.135
Cirrus_TRAIN014_055.tiff,19.97,0.128
Cirrus_TRAIN014_056.tiff,20.112,0.131
Cirrus_TRAIN014_057.tiff,20.147,0.13
Cirrus_TRAIN014_058.tiff,20.024,0.132
Cirrus_TRAIN014_059.tiff,20.099,0.13
Cirrus_TRAIN014_060.tiff,19.904,0.127
Cirrus_TRAIN014_061.tiff,20.021,0.125
Cirrus_TRAIN014_062.tiff,20.012,0.128
Cirrus_TRAIN014_063.tiff,19.963,0.129
Cirrus_TRAIN014_064.tiff,19.816,0.121
Cirrus_TRAIN014_065.tiff,19.662,0.122
Cirrus_TRAIN014_066.tiff,19.783,0.123
Cirrus_TRAIN014_067.tiff,19.814,0.125
Cirrus_TRAIN014_068.tiff,19.793,0.124
Cirrus_TRAIN014_069.tiff,19.955,0.14
Cirrus_TRAIN014_070.tiff,19.811,0.131
Cirrus_TRAIN014_071.tiff,19.858,0.128
Cirrus_TRAIN014_072.tiff,19.962,0.132
Cirrus_TRAIN014_073.tiff,19.857,0.136
Cirrus_TRAIN014_074.tiff,19.712,0.125
Cirrus_TRAIN014_075.tiff,19.666,0.124
Cirrus_TRAIN014_076.tiff,19.671,0.124
Cirrus_TRAIN014_077.tiff,19.532,0.125
Cirrus_TRAIN014_078.tiff,19.605,0.125
Cirrus_TRAIN014_079.tiff,19.54,0.126
Cirrus_TRAIN014_080.tiff,19.715,0.125
Cirrus_TRAIN014_081.tiff,19.748,0.127
Cirrus_TRAIN014_082.tiff,19.631,0.121
Cirrus_TRAIN014_083.tiff,19.435,0.12
Cirrus_TRAIN014_084.tiff,19.35,0.121
Cirrus_TRAIN014_085.tiff,19.384,0.118
Cirrus_TRAIN014_086.tiff,19.461,0.126
Cirrus_TRAIN014_087.tiff,19.542,0.123
Cirrus_TRAIN014_088.tiff,19.534,0.126
Cirrus_TRAIN014_089.tiff,19.423,0.116
Cirrus_TRAIN014_090.tiff,19.377,0.121
Cirrus_TRAIN014_091.tiff,19.356,0.123
Cirrus_TRAIN014_092.tiff,19.461,0.129
Cirrus_TRAIN014_093.tiff,19.167,0.127
Cirrus_TRAIN014_094.tiff,19.165,0.116
Cirrus_TRAIN014_095.tiff,19.34,0.121
Cirrus_TRAIN014_096.tiff,19.152,0.122
Cirrus_TRAIN014_097.tiff,19.081,0.116
Cirrus_TRAIN014_098.tiff,19.162,0.115
Cirrus_TRAIN014_099.tiff,19.354,0.12
Cirrus_TRAIN014_100.tiff,19.559,0.132
Cirrus_TRAIN014_101.tiff,19.86,0.138
Cirrus_TRAIN014_102.tiff,19.475,0.122
Cirrus_TRAIN014_103.tiff,19.233,0.12
Cirrus_TRAIN014_104.tiff,18.967,0.112
Cirrus_TRAIN014_105.tiff,18.951,0.122
Cirrus_TRAIN014_106.tiff,19.216,0.122
Cirrus_TRAIN014_107.tiff,19.304,0.124
Cirrus_TRAIN014_108.tiff,19.361,0.124
Cirrus_TRAIN014_109.tiff,19.328,0.121
Cirrus_TRAIN014_110.tiff,19.492,0.123
Cirrus_TRAIN014_111.tiff,19.589,0.132
Cirrus_TRAIN014_112.tiff,19.233,0.116
Cirrus_TRAIN014_113.tiff,19.139,0.119
Cirrus_TRAIN014_114.tiff,18.862,0.117
Cirrus_TRAIN014_115.tiff,19.188,0.136
Cirrus_TRAIN014_116.tiff,19.433,0.135
Cirrus_TRAIN014_117.tiff,19.523,0.13
Cirrus_TRAIN014_118.tiff,19.243,0.131
Cirrus_TRAIN014_119.tiff,18.667,0.114
Cirrus_TRAIN014_120.tiff,18.874,0.121
Cirrus_TRAIN014_121.tiff,19.141,0.127
Cirrus_TRAIN014_122.tiff,19.168,0.121
Cirrus_TRAIN014_123.tiff,19.089,0.118
Cirrus_TRAIN014_124.tiff,19.058,0.112
Cirrus_TRAIN014_125.tiff,19.001,0.106
Cirrus_TRAIN014_126.tiff,19.12,0.115
Cirrus_TRAIN015_001.tiff,19.599,0.152
Cirrus_TRAIN015_002.tiff,19.52,0.148
Cirrus_TRAIN015_003.tiff,19.584,0.138
Cirrus_TRAIN015_004.tiff,19.609,0.143
Cirrus_TRAIN015_005.tiff,19.506,0.142
Cirrus_TRAIN015_006.tiff,19.455,0.142
Cirrus_TRAIN015_007.tiff,19.42,0.133
Cirrus_TRAIN015_008.tiff,19.569,0.143
Cirrus_TRAIN015_009.tiff,19.497,0.15
Cirrus_TRAIN015_010.tiff,19.582,0.148
Cirrus_TRAIN015_011.tiff,19.391,0.146
Cirrus_TRAIN015_012.tiff,19.421,0.145
Cirrus_TRAIN015_013.tiff,19.351,0.141
Cirrus_TRAIN015_014.tiff,19.615,0.15
Cirrus_TRAIN015_015.tiff,19.426,0.144
Cirrus_TRAIN015_016.tiff,19.591,0.15
Cirrus_TRAIN015_017.tiff,19.613,0.15
Cirrus_TRAIN015_018.tiff,19.518,0.14
Cirrus_TRAIN015_019.tiff,19.36,0.14
Cirrus_TRAIN015_020.tiff,19.59,0.141
Cirrus_TRAIN015_021.tiff,19.542,0.142
Cirrus_TRAIN015_022.tiff,19.421,0.133
Cirrus_TRAIN015_023.tiff,19.328,0.127
Cirrus_TRAIN015_024.tiff,19.369,0.136
Cirrus_TRAIN015_025.tiff,19.334,0.135
Cirrus_TRAIN015_026.tiff,19.375,0.132
Cirrus_TRAIN015_027.tiff,19.348,0.134
Cirrus_TRAIN015_028.tiff,19.397,0.126
Cirrus_TRAIN015_029.tiff,19.295,0.123
Cirrus_TRAIN015_030.tiff,19.301,0.133
Cirrus_TRAIN015_031.tiff,19.136,0.125
Cirrus_TRAIN015_032.tiff,19.13,0.128
Cirrus_TRAIN015_033.tiff,19.14,0.13
Cirrus_TRAIN015_034.tiff,19.266,0.123
Cirrus_TRAIN015_035.tiff,19.295,0.124
Cirrus_TRAIN015_036.tiff,19.077,0.124
Cirrus_TRAIN015_037.tiff,19.159,0.114
Cirrus_TRAIN015_038.tiff,19.199,0.117
Cirrus_TRAIN015_039.tiff,19.242,0.118
Cirrus_TRAIN015_040.tiff,19.097,0.112
Cirrus_TRAIN015_041.tiff,19.235,0.12
Cirrus_TRAIN015_042.tiff,19.251,0.119
Cirrus_TRAIN015_043.tiff,19.166,0.117
Cirrus_TRAIN015_044.tiff,19.112,0.114
Cirrus_TRAIN015_045.tiff,19.127,0.111
Cirrus_TRAIN015_046.tiff,19.251,0.116
Cirrus_TRAIN015_047.tiff,19.32,0.118
Cirrus_TRAIN015_048.tiff,19.349,0.118
Cirrus_TRAIN015_049.tiff,19.324,0.121
Cirrus_TRAIN015_050.tiff,19.171,0.116
Cirrus_TRAIN015_051.tiff,19.221,0.122
Cirrus_TRAIN015_052.tiff,19.16,0.119
Cirrus_TRAIN015_053.tiff,19.137,0.112
Cirrus_TRAIN015_054.tiff,19.153,0.111
Cirrus_TRAIN015_055.tiff,19.206,0.115
Cirrus_TRAIN015_056.tiff,19.318,0.122
Cirrus_TRAIN015_057.tiff,19.337,0.119
Cirrus_TRAIN015_058.tiff,19.261,0.115
Cirrus_TRAIN015_059.tiff,19.018,0.111
Cirrus_TRAIN015_060.tiff,19.253,0.118
Cirrus_TRAIN015_061.tiff,19.065,0.112
Cirrus_TRAIN015_062.tiff,19.141,0.111
Cirrus_TRAIN015_063.tiff,19.046,0.113
Cirrus_TRAIN015_064.tiff,19.137,0.117
Cirrus_TRAIN015_065.tiff,19.038,0.11
Cirrus_TRAIN015_066.tiff,19.062,0.112
Cirrus_TRAIN015_067.tiff,19.12,0.115
Cirrus_TRAIN015_068.tiff,19.213,0.116
Cirrus_TRAIN015_069.tiff,19.096,0.111
Cirrus_TRAIN015_070.tiff,18.938,0.109
Cirrus_TRAIN015_071.tiff,18.833,0.105
Cirrus_TRAIN015_072.tiff,19.064,0.112
Cirrus_TRAIN015_073.tiff,18.974,0.111
Cirrus_TRAIN015_074.tiff,19.002,0.109
Cirrus_TRAIN015_075.tiff,19.039,0.117
Cirrus_TRAIN015_076.tiff,19.153,0.119
Cirrus_TRAIN015_077.tiff,19.057,0.112
Cirrus_TRAIN015_078.tiff,19.01,0.116
Cirrus_TRAIN015_079.tiff,18.949,0.113
Cirrus_TRAIN015_080.tiff,18.864,0.108
Cirrus_TRAIN015_081.tiff,18.954,0.114
Cirrus_TRAIN015_082.tiff,18.983,0.114
Cirrus_TRAIN015_083.tiff,18.808,0.11
Cirrus_TRAIN015_084.tiff,18.904,0.112
Cirrus_TRAIN015_085.tiff,18.612,0.106
Cirrus_TRAIN015_086.tiff,18.577,0.103
Cirrus_TRAIN015_087.tiff,18.264,0.102
Cirrus_TRAIN015_088.tiff,18.433,0.098
Cirrus_TRAIN015_089.tiff,18.899,0.111
Cirrus_TRAIN015_090.tiff,18.789,0.113
Cirrus_TRAIN015_091.tiff,18.967,0.112
Cirrus_TRAIN015_092.tiff,18.968,0.114
Cirrus_TRAIN015_093.tiff,18.926,0.114
Cirrus_TRAIN015_094.tiff,18.465,0.1
Cirrus_TRAIN015_095.tiff,18.924,0.113
Cirrus_TRAIN015_096.tiff,18.911,0.107
Cirrus_TRAIN015_097.tiff,18.965,0.111
Cirrus_TRAIN015_098.tiff,19.032,0.116
Cirrus_TRAIN015_099.tiff,19.286,0.12
Cirrus_TRAIN015_100.tiff,19.107,0.117
Cirrus_TRAIN015_101.tiff,19.025,0.115
Cirrus_TRAIN015_102.tiff,19.13,0.117
Cirrus_TRAIN015_103.tiff,19.191,0.119
Cirrus_TRAIN015_104.tiff,19.033,0.123
Cirrus_TRAIN015_105.tiff,18.913,0.118
Cirrus_TRAIN015_106.tiff,19.005,0.118
Cirrus_TRAIN015_107.tiff,19.015,0.119
Cirrus_TRAIN015_108.tiff,18.981,0.112
Cirrus_TRAIN015_109.tiff,19.085,0.118
Cirrus_TRAIN015_110.tiff,19.204,0.119
Cirrus_TRAIN015_111.tiff,19.093,0.124
Cirrus_TRAIN015_112.tiff,19.147,0.122
Cirrus_TRAIN015_113.tiff,19.002,0.116
Cirrus_TRAIN015_114.tiff,19.051,0.119
Cirrus_TRAIN015_115.tiff,19.047,0.116
Cirrus_TRAIN015_116.tiff,19.232,0.123
Cirrus_TRAIN015_117.tiff,19.297,0.126
Cirrus_TRAIN015_118.tiff,19.182,0.127
Cirrus_TRAIN015_119.tiff,19.149,0.121
Cirrus_TRAIN015_120.tiff,19.23,0.13
Cirrus_TRAIN015_121.tiff,19.248,0.143
Cirrus_TRAIN015_122.tiff,19.31,0.129
Cirrus_TRAIN015_123.tiff,19.202,0.129
Cirrus_TRAIN015_124.tiff,19.169,0.12
Cirrus_TRAIN015_125.tiff,19.196,0.125
Cirrus_TRAIN015_126.tiff,19.244,0.13
Cirrus_TRAIN017_001.tiff,19.27,0.102
Cirrus_TRAIN017_002.tiff,19.436,0.106
Cirrus_TRAIN017_003.tiff,19.032,0.102
Cirrus_TRAIN017_004.tiff,18.767,0.101
Cirrus_TRAIN017_005.tiff,18.688,0.096
Cirrus_TRAIN017_006.tiff,18.836,0.099
Cirrus_TRAIN017_007.tiff,18.997,0.109
Cirrus_TRAIN017_008.tiff,19.043,0.107
Cirrus_TRAIN017_009.tiff,18.778,0.099
Cirrus_TRAIN017_010.tiff,19.022,0.097
Cirrus_TRAIN017_011.tiff,18.928,0.102
Cirrus_TRAIN017_012.tiff,19.41,0.107
Cirrus_TRAIN017_013.tiff,19.598,0.113
Cirrus_TRAIN017_014.tiff,18.996,0.104
Cirrus_TRAIN017_015.tiff,19.048,0.105
Cirrus_TRAIN017_016.tiff,19.016,0.105
Cirrus_TRAIN017_017.tiff,19.279,0.109
Cirrus_TRAIN017_018.tiff,19.516,0.115
Cirrus_TRAIN017_019.tiff,19.728,0.127
Cirrus_TRAIN017_020.tiff,18.949,0.102
Cirrus_TRAIN017_021.tiff,19.155,0.111
Cirrus_TRAIN017_022.tiff,18.905,0.103
Cirrus_TRAIN017_023.tiff,18.759,0.1
Cirrus_TRAIN017_024.tiff,18.922,0.103
Cirrus_TRAIN017_025.tiff,19.23,0.111
Cirrus_TRAIN017_026.tiff,19.125,0.111
Cirrus_TRAIN017_027.tiff,18.77,0.104
Cirrus_TRAIN017_028.tiff,18.894,0.105
Cirrus_TRAIN017_029.tiff,18.927,0.11
Cirrus_TRAIN017_030.tiff,18.582,0.103
Cirrus_TRAIN017_031.tiff,18.858,0.109
Cirrus_TRAIN017_032.tiff,19.153,0.117
Cirrus_TRAIN017_033.tiff,18.908,0.108
Cirrus_TRAIN017_034.tiff,18.907,0.106
Cirrus_TRAIN017_035.tiff,19.046,0.11
Cirrus_TRAIN017_036.tiff,18.819,0.105
Cirrus_TRAIN017_037.tiff,19.274,0.116
Cirrus_TRAIN017_038.tiff,19.364,0.112
Cirrus_TRAIN017_039.tiff,19.585,0.117
Cirrus_TRAIN017_040.tiff,19.489,0.116
Cirrus_TRAIN017_041.tiff,18.641,0.102
Cirrus_TRAIN017_042.tiff,18.944,0.106
Cirrus_TRAIN017_043.tiff,18.949,0.109
Cirrus_TRAIN017_044.tiff,19.278,0.118
Cirrus_TRAIN017_045.tiff,19.164,0.112
Cirrus_TRAIN017_046.tiff,19.428,0.116
Cirrus_TRAIN017_047.tiff,19.394,0.117
Cirrus_TRAIN017_048.tiff,19.203,0.111
Cirrus_TRAIN017_049.tiff,19.38,0.117
Cirrus_TRAIN017_050.tiff,18.672,0.109
Cirrus_TRAIN017_051.tiff,19.051,0.111
Cirrus_TRAIN017_052.tiff,18.8,0.104
Cirrus_TRAIN017_053.tiff,18.9,0.106
Cirrus_TRAIN017_054.tiff,19.031,0.11
Cirrus_TRAIN017_055.tiff,19.378,0.116
Cirrus_TRAIN017_056.tiff,19.121,0.11
Cirrus_TRAIN017_057.tiff,18.946,0.108
Cirrus_TRAIN017_058.tiff,19.201,0.11
Cirrus_TRAIN017_059.tiff,19.439,0.113
Cirrus_TRAIN017_060.tiff,18.936,0.103
Cirrus_TRAIN017_061.tiff,18.799,0.101
Cirrus_TRAIN017_062.tiff,18.533,0.099
Cirrus_TRAIN017_063.tiff,18.828,0.102
Cirrus_TRAIN017_064.tiff,19.232,0.112
Cirrus_TRAIN017_065.tiff,18.941,0.105
Cirrus_TRAIN017_066.tiff,19.03,0.109
Cirrus_TRAIN017_067.tiff,18.823,0.105
Cirrus_TRAIN017_068.tiff,18.835,0.105
Cirrus_TRAIN017_069.tiff,18.669,0.1
Cirrus_TRAIN017_070.tiff,18.7,0.098
Cirrus_TRAIN017_071.tiff,18.918,0.112
Cirrus_TRAIN017_072.tiff,18.796,0.112
Cirrus_TRAIN017_073.tiff,18.79,0.109
Cirrus_TRAIN017_074.tiff,19.169,0.116
Cirrus_TRAIN017_075.tiff,18.955,0.112
Cirrus_TRAIN017_076.tiff,18.591,0.108
Cirrus_TRAIN017_077.tiff,18.938,0.111
Cirrus_TRAIN017_078.tiff,18.86,0.11
Cirrus_TRAIN017_079.tiff,18.625,0.106
Cirrus_TRAIN017_080.tiff,18.929,0.108
Cirrus_TRAIN017_081.tiff,19.076,0.114
Cirrus_TRAIN017_082.tiff,18.689,0.11
Cirrus_TRAIN017_083.tiff,19.122,0.115
Cirrus_TRAIN017_084.tiff,18.971,0.113
Cirrus_TRAIN017_085.tiff,19.123,0.115
Cirrus_TRAIN017_086.tiff,19.164,0.111
Cirrus_TRAIN017_087.tiff,19.227,0.11
Cirrus_TRAIN017_088.tiff,19.451,0.125
Cirrus_TRAIN017_089.tiff,19.019,0.12
Cirrus_TRAIN017_090.tiff,18.74,0.111
Cirrus_TRAIN017_091.tiff,18.848,0.116
Cirrus_TRAIN017_092.tiff,18.878,0.116
Cirrus_TRAIN017_093.tiff,18.623,0.114
Cirrus_TRAIN017_094.tiff,18.765,0.114
Cirrus_TRAIN017_095.tiff,19.117,0.12
Cirrus_TRAIN017_096.tiff,18.826,0.109
Cirrus_TRAIN017_097.tiff,18.999,0.116
Cirrus_TRAIN017_098.tiff,19.204,0.117
Cirrus_TRAIN017_099.tiff,19.167,0.122
Cirrus_TRAIN017_100.tiff,18.907,0.112
Cirrus_TRAIN017_101.tiff,19.284,0.119
Cirrus_TRAIN017_102.tiff,19.291,0.123
Cirrus_TRAIN017_103.tiff,19.175,0.122
Cirrus_TRAIN017_104.tiff,19.3,0.127
Cirrus_TRAIN017_105.tiff,19.106,0.121
Cirrus_TRAIN017_106.tiff,19.227,0.125
Cirrus_TRAIN017_107.tiff,19.316,0.13
Cirrus_TRAIN017_108.tiff,19.231,0.126
Cirrus_TRAIN017_109.tiff,18.864,0.118
Cirrus_TRAIN017_110.tiff,19.186,0.124
Cirrus_TRAIN017_111.tiff,19.13,0.125
Cirrus_TRAIN017_112.tiff,19.251,0.121
Cirrus_TRAIN017_113.tiff,19.405,0.124
Cirrus_TRAIN017_114.tiff,19.314,0.124
Cirrus_TRAIN017_115.tiff,19.097,0.116
Cirrus_TRAIN017_116.tiff,19.464,0.126
Cirrus_TRAIN017_117.tiff,19.286,0.121
Cirrus_TRAIN017_118.tiff,19.368,0.121
Cirrus_TRAIN017_119.tiff,19.38,0.12
Cirrus_TRAIN017_120.tiff,19.557,0.124
Cirrus_TRAIN017_121.tiff,19.523,0.128
Cirrus_TRAIN017_122.tiff,19.454,0.123
Cirrus_TRAIN017_123.tiff,19.398,0.127
Cirrus_TRAIN017_124.tiff,19.467,0.122
Cirrus_TRAIN017_125.tiff,19.272,0.117
Cirrus_TRAIN017_126.tiff,19.336,0.117
Cirrus_TRAIN024_001.tiff,19.439,0.114
Cirrus_TRAIN024_002.tiff,19.049,0.115
Cirrus_TRAIN024_003.tiff,19.583,0.12
Cirrus_TRAIN024_004.tiff,19.764,0.125
Cirrus_TRAIN024_005.tiff,18.735,0.11
Cirrus_TRAIN024_006.tiff,19.171,0.109
Cirrus_TRAIN024_007.tiff,19.251,0.111
Cirrus_TRAIN024_008.tiff,19.116,0.104
Cirrus_TRAIN024_009.tiff,19.126,0.111
Cirrus_TRAIN024_010.tiff,19.311,0.111
Cirrus_TRAIN024_011.tiff,19.334,0.113
Cirrus_TRAIN024_012.tiff,18.85,0.108
Cirrus_TRAIN024_013.tiff,19.508,0.116
Cirrus_TRAIN024_014.tiff,19.538,0.116
Cirrus_TRAIN024_015.tiff,19.889,0.131
Cirrus_TRAIN024_016.tiff,18.619,0.111
Cirrus_TRAIN024_017.tiff,19.106,0.107
Cirrus_TRAIN024_018.tiff,19.084,0.106
Cirrus_TRAIN024_019.tiff,19.004,0.104
Cirrus_TRAIN024_020.tiff,19.122,0.104
Cirrus_TRAIN024_021.tiff,19.175,0.112
Cirrus_TRAIN024_022.tiff,19.195,0.108
Cirrus_TRAIN024_023.tiff,19.081,0.109
Cirrus_TRAIN024_024.tiff,18.992,0.102
Cirrus_TRAIN024_025.tiff,19.335,0.113
Cirrus_TRAIN024_026.tiff,19.471,0.119
Cirrus_TRAIN024_027.tiff,18.956,0.106
Cirrus_TRAIN024_028.tiff,19.26,0.109
Cirrus_TRAIN024_029.tiff,19.125,0.104
Cirrus_TRAIN024_030.tiff,19.021,0.099
Cirrus_TRAIN024_031.tiff,18.974,0.099
Cirrus_TRAIN024_032.tiff,18.741,0.099
Cirrus_TRAIN024_033.tiff,19.247,0.112
Cirrus_TRAIN024_034.tiff,19.366,0.112
Cirrus_TRAIN024_035.tiff,18.932,0.103
Cirrus_TRAIN024_036.tiff,18.765,0.092
Cirrus_TRAIN024_037.tiff,19.048,0.102
Cirrus_TRAIN024_038.tiff,19.011,0.109
Cirrus_TRAIN024_039.tiff,19.057,0.101
Cirrus_TRAIN024_040.tiff,18.925,0.099
Cirrus_TRAIN024_041.tiff,18.78,0.099
Cirrus_TRAIN024_042.tiff,19.201,0.107
Cirrus_TRAIN024_043.tiff,19.096,0.104
Cirrus_TRAIN024_044.tiff,18.574,0.099
Cirrus_TRAIN024_045.tiff,18.877,0.098
Cirrus_TRAIN024_046.tiff,18.614,0.097
Cirrus_TRAIN024_047.tiff,18.836,0.097
Cirrus_TRAIN024_048.tiff,18.752,0.096
Cirrus_TRAIN024_049.tiff,18.711,0.095
Cirrus_TRAIN024_050.tiff,18.655,0.095
Cirrus_TRAIN024_051.tiff,18.656,0.093
Cirrus_TRAIN024_052.tiff,18.761,0.094
Cirrus_TRAIN024_053.tiff,18.968,0.097
Cirrus_TRAIN024_054.tiff,19.163,0.1
Cirrus_TRAIN024_055.tiff,18.976,0.099
Cirrus_TRAIN024_056.tiff,19.007,0.099
Cirrus_TRAIN024_057.tiff,18.874,0.092
Cirrus_TRAIN024_058.tiff,18.867,0.1
Cirrus_TRAIN024_059.tiff,19.037,0.1
Cirrus_TRAIN024_060.tiff,19.334,0.105
Cirrus_TRAIN024_061.tiff,19.006,0.1
Cirrus_TRAIN024_062.tiff,18.649,0.092
Cirrus_TRAIN024_063.tiff,18.651,0.09
