Slice,PSNR,SSIM
Cirrus_TEST008_002.tiff,19.802,0.146
Cirrus_TEST008_003.tiff,19.723,0.137
Cirrus_TEST008_004.tiff,19.647,0.138
Cirrus_TEST008_005.tiff,19.594,0.136
Cirrus_TEST008_006.tiff,19.866,0.142
Cirrus_TEST008_007.tiff,19.842,0.144
Cirrus_TEST008_008.tiff,19.784,0.134
Cirrus_TEST008_009.tiff,19.846,0.143
Cirrus_TEST008_010.tiff,19.69,0.135
Cirrus_TEST008_011.tiff,19.633,0.133
Cirrus_TEST008_012.tiff,19.7,0.139
Cirrus_TEST008_013.tiff,19.687,0.139
Cirrus_TEST008_014.tiff,19.762,0.137
Cirrus_TEST008_015.tiff,19.694,0.13
Cirrus_TEST008_016.tiff,19.821,0.142
Cirrus_TEST008_017.tiff,19.474,0.132
Cirrus_TEST008_018.tiff,19.798,0.14
Cirrus_TEST008_019.tiff,19.743,0.143
Cirrus_TEST008_020.tiff,19.694,0.136
Cirrus_TEST008_021.tiff,19.917,0.147
Cirrus_TEST008_022.tiff,19.804,0.134
Cirrus_TEST008_023.tiff,19.836,0.141
Cirrus_TEST008_024.tiff,19.783,0.14
Cirrus_TEST008_025.tiff,19.812,0.135
Cirrus_TEST008_026.tiff,19.658,0.133
Cirrus_TEST008_027.tiff,19.755,0.138
Cirrus_TEST008_028.tiff,19.811,0.139
Cirrus_TEST008_029.tiff,19.775,0.145
Cirrus_TEST008_030.tiff,19.858,0.14
Cirrus_TEST008_031.tiff,19.768,0.14
Cirrus_TEST008_032.tiff,19.714,0.144
Cirrus_TEST008_033.tiff,19.575,0.132
Cirrus_TEST008_034.tiff,19.619,0.14
Cirrus_TEST008_035.tiff,19.517,0.133
Cirrus_TEST008_036.tiff,19.641,0.132
Cirrus_TEST008_037.tiff,19.713,0.141
Cirrus_TEST008_038.tiff,19.725,0.137
Cirrus_TEST008_039.tiff,19.793,0.142
Cirrus_TEST008_040.tiff,19.769,0.137
Cirrus_TEST008_041.tiff,19.677,0.132
Cirrus_TEST008_042.tiff,19.831,0.144
Cirrus_TEST008_043.tiff,19.871,0.15
Cirrus_TEST008_044.tiff,19.866,0.15
Cirrus_TEST008_045.tiff,20.028,0.146
Cirrus_TEST008_046.tiff,19.884,0.14
Cirrus_TEST008_047.tiff,19.991,0.155
Cirrus_TEST008_048.tiff,19.894,0.146
Cirrus_TEST008_049.tiff,19.814,0.142
Cirrus_TEST008_050.tiff,19.78,0.141
Cirrus_TEST008_051.tiff,19.835,0.141
Cirrus_TEST008_052.tiff,19.738,0.139
Cirrus_TEST008_053.tiff,19.898,0.146
Cirrus_TEST008_054.tiff,19.794,0.144
Cirrus_TEST008_055.tiff,20.004,0.145
Cirrus_TEST008_056.tiff,19.791,0.141
Cirrus_TEST008_057.tiff,19.738,0.138
Cirrus_TEST008_058.tiff,19.581,0.135
Cirrus_TEST008_059.tiff,19.765,0.137
Cirrus_TEST008_060.tiff,19.869,0.14
Cirrus_TEST008_061.tiff,19.688,0.133
Cirrus_TEST008_062.tiff,19.773,0.138
Cirrus_TEST008_063.tiff,19.664,0.133
Cirrus_TEST008_064.tiff,19.708,0.13
Cirrus_TEST008_065.tiff,19.681,0.138
Cirrus_TEST008_066.tiff,19.769,0.139
Cirrus_TEST008_067.tiff,19.823,0.136
Cirrus_TEST008_068.tiff,19.697,0.138
Cirrus_TEST008_069.tiff,19.519,0.128
Cirrus_TEST008_070.tiff,19.646,0.133
