vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.61 (0.13),0.71 (0.18),0.65 (0.17)
Spectralis,0.68 (0.14),0.75 (0.13),0.70 (0.16)
Topcon,0.52 (0.17),0.78 (0.12),0.63 (0.16)
