slice,dice_class_0,dice_class_1,dice_class_2,dice_class_3,dice_class_4,voxels_class_0,voxels_class_1,voxels_class_2,voxels_class_3,voxels_class_4,total_dice
Cirrus_TRAIN019_052.tiff,0.9631472826004028,0.0016406892100349069,3.369272361108955e-10,3.787878899430552e-09,1.0,130999.0,73.0,0.0,0.0,0.0,0.9289169311523438
Cirrus_TRAIN019_053.tiff,0.9736008644104004,0.06129510700702667,3.632401046615996e-10,5.4054054565710885e-09,1.0,130536.0,536.0,0.0,0.0,0.0,0.9486083984375
Cirrus_TRAIN019_054.tiff,0.9966586232185364,2.1276596040564755e-09,1.0,2.481389538289136e-09,1.0,130610.0,462.0,0.0,0.0,0.0,0.9933395385742188
Cirrus_TRAIN019_055.tiff,0.9636707305908203,0.043315283954143524,1.8261504808325668e-10,7.07714054026809e-10,1.0,130775.0,297.0,0.0,0.0,0.0,0.9299163818359375
Cirrus_TRAIN019_056.tiff,0.9902074933052063,0.34564393758773804,1.0822510665420282e-09,4.219409266426055e-09,1.0,130605.0,467.0,0.0,0.0,0.0,0.9806289672851562
Cirrus_TRAIN019_057.tiff,0.9952402710914612,0.7796875238418579,2.3809523241880015e-08,1.0718113063745704e-09,1.0,130349.0,723.0,0.0,0.0,0.0,0.9904861450195312
Cirrus_TRAIN019_058.tiff,0.9516544938087463,0.14683744311332703,1.9073050083751042e-10,2.0242914011703306e-09,1.0,130250.0,822.0,0.0,0.0,0.0,0.9075775146484375
Cirrus_TRAIN019_059.tiff,0.9954444169998169,0.7195438146591187,3.333333253863202e-08,1.3831258360852416e-09,1.0,129995.0,1077.0,0.0,0.0,0.0,0.9905548095703125
Cirrus_TRAIN019_060.tiff,0.9933665990829468,0.5749513506889343,3.333333387089965e-09,7.627765086226646e-10,1.0,130004.0,1068.0,0.0,0.0,0.0,0.98480224609375
Cirrus_TRAIN019_061.tiff,0.9939289093017578,0.723630428314209,8.849557531220853e-09,8.726003253300973e-10,1.0,129715.0,1357.0,0.0,0.0,0.0,0.98663330078125
Cirrus_TRAIN019_062.tiff,0.9953499436378479,0.7510008215904236,4.237288298014619e-09,1.086956524787297e-09,1.0,129754.0,1318.0,0.0,0.0,0.0,0.9886322021484375
Cirrus_TRAIN019_063.tiff,0.9655561447143555,0.30561476945877075,2.2060445137306317e-10,3.7174721079225037e-09,1.0,129937.0,1135.0,0.0,0.0,0.0,0.9337005615234375
Cirrus_TRAIN019_064.tiff,0.9931663274765015,0.5236234664916992,4.761904648376003e-09,1.831501839077987e-09,1.0,129016.0,2056.0,0.0,0.0,0.0,0.985260009765625
Cirrus_TRAIN019_065.tiff,0.9967742562294006,0.5706122517585754,6.849314893031533e-09,1.4430013850486034e-09,1.0,129441.0,1631.0,0.0,0.0,0.0,0.9896011352539062
