Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.13039749449546234 (0.15839435993956866),0.14628914623433417 (0.1431206843076987),0.15429731980433178 (0.13355354016158896)
Spectralis,0.6032611311191605 (0.20785214790486636),0.7859880149103048 (0.19649431512496354),0.3267013187604872 (0.2625090619784191)
Topcon,0.1015506048699165 (0.13399261977178506),0.22579080022008316 (0.15524397059199713),0.3245572952349504 (0.22123942070069005)
