Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5101033502118393 (0.276586801916003),0.7399175208911561 (0.16313633503152777),0.5795009868774706 (0.29996965415094656)
Spectralis,0.6045903073952479 (0.26251097725379624),0.8726121336221695 (0.17283781600428438),0.5991004822322 (0.292225538725541)
Topcon,0.7340586555827605 (0.17069155735452415),0.6066641358480062 (0.2371285089444927),0.5585101491501254 (0.24074077804721156)
