Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.8523120997015212 (0.260540923343726),0.917549441131996 (0.181704709288661),0.9341063795727678 (0.18043870282365995)
Spectralis,0.6453081347048283 (0.38255062128637757),0.8205548860588853 (0.331142430668592),0.8515500006627064 (0.31026953506795824)
Topcon,0.8179914958010259 (0.3301811910323447),0.9292077687164743 (0.21528479566028724),0.7548147993317494 (0.41523577349247937)
