vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.54 (0.14),0.63 (0.15),0.60 (0.12)
Spectralis,0.66 (0.14),0.76 (0.08),0.70 (0.18)
Topcon,0.69 (0.13),0.78 (0.06),0.69 (0.15)
