Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.40594998908345586 (0.43299064155605255),0.7891260841279291 (0.338479088718252),0.6560159348917296 (0.4230601567876491)
Spectralis,0.5953408189574066 (0.3908761139756633),0.8054387569731596 (0.3614385458459788),0.7862627561299168 (0.37447413828550785)
Topcon,0.76190379644478 (0.3704621314798348),0.8406550804086562 (0.3452682218517054),0.7969765276648104 (0.35977629985523957)
