Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6894848085567356 (0.22700340682602405),0.6376478655592484 (0.31011114124929845),0.6102526405947688 (0.2113671481221839)
Spectralis,0.6642017916222162 (0.17182361821669628),0.8937709766333221 (0.14702833097777893),0.6496251882226379 (0.19413367462182163)
Topcon,0.5415624789893627 (0.21254966733317157),0.6986208759630338 (0.19663820475978924),0.6704801229086328 (0.16324040258460082)
