Device,PSNR,SSIM,MSE
Cirrus,20.40264583333333 (0.5231179559066582),0.1752986111111111 (0.034366491353640366),0.009180546434695966 (0.0011007039465575712)
Spectralis,24.936547872340427 (1.3433108462683248),0.4977632978723404 (0.07176353639577952),0.003371230748598464 (0.001114499307604177)
T-1000,21.946439153439155 (0.6298256655352521),0.22753174603174606 (0.05222259333629673),0.006454921365720491 (0.0009335164308027982)
T-2000,22.55720671378092 (0.5959836916674903),0.2632844522968198 (0.03264540524338456),0.0056052055097162035 (0.0008460018907591773)
