Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.09493482735592806 (0.1342391684475554),0.007970270089572296 (0.037996151980973863),0.1328125 (0.34070546889569153)
TRAIN010,0.030603023561070586 (0.10946986923391479),0.0078125 (0.08838834764831843),0.0 (0.0)
TRAIN011,0.23881263050134294 (0.37845402356696806),0.07708320725214435 (0.1667351174383571),0.003264821832999587 (0.020587225634797018)
TRAIN013,0.5411645298991061 (0.49369798026750905),0.10096940198491211 (0.25330949046926043),0.04379213423862893 (0.13585202596257562)
TRAIN015,0.0 (0.0),0.13115255494381017 (0.12192843978877789),0.19934256741544232 (0.18642991569088485)
TRAIN028,0.061224489795918366 (0.24222607082590245),0.7879447292308418 (0.34508028903093746),0.7075067999563656 (0.4361668079846826)
TRAIN029,0.3945623770052073 (0.42094300288259734),0.719785466486094 (0.43934964059743936),0.7551020408163265 (0.4344830378784442)
TRAIN032,0.6845984635304432 (0.11764474336093339),0.5784699007564661 (0.4064300042269261),0.24489795918367346 (0.43448303787844417)
TRAIN041,0.13507453580291903 (0.32381661028685804),0.5714285714285714 (0.5),0.7959183673469388 (0.40720550896397784)
TRAIN046,0.3641813332024886 (0.30673617181437773),0.13423494127940158 (0.3347021418353917),0.4225923434203985 (0.36082975200122436)
TRAIN049,0.0078125 (0.08838834764831843),0.032624382383801276 (0.12562422000176113),0.31848240859108046 (0.4141053093429155)
TRAIN050,0.03156154645876086 (0.11892697775111898),0.0 (0.0),0.08536667384760221 (0.1664703364578206)
TRAIN051,0.04269648892295663 (0.0868099974507764),0.047511733311694115 (0.11311082688481534),0.0703125 (0.25667755285909255)
TRAIN056,0.04640921596001135 (0.12111680789898305),0.0 (0.0),0.0 (0.0)
