Volume,dice_SRF
TRAIN007,0.578125 (0.49579928311148075)
TRAIN011,0.5521307124290615 (0.4390330191307783)
TRAIN015,0.7252249901066534 (0.2513266125057701)
TRAIN017,0.578125 (0.4957992831114807)
TRAIN020,0.5187599674682133 (0.23129799073350465)
TRAIN026,0.8571428571428571 (0.35355339059327373)
TRAIN028,0.9104528700818821 (0.18922689447286004)
TRAIN031,0.7959183673469388 (0.4072055089639778)
TRAIN035,0.8391224498651466 (0.2579275525191738)
TRAIN041,0.9183673469387755 (0.2766416675862441)
TRAIN054,0.8912843796424568 (0.2950914796324211)
TRAIN058,0.8828125 (0.32290740609869234)
TRAIN059,0.8943377963878447 (0.27595508309405414)
TRAIN061,0.7540815215543262 (0.2848138973071806)
