slice,dice_Background,dice_IRF,voxels_Background,voxels_IRF,union_Background,union_IRF,intersection_Background,intersection_IRF,binary_dice
Spectralis_TRAIN036_048.tiff,0.9942017197608948,0.0,253952,0,504976,2928,251024,0,0.0
Spectralis_TRAIN043_000.tiff,0.9997656345367432,0.0,253952,0,507785,119,253833,0,0.0
Spectralis_TRAIN043_001.tiff,0.9996513724327087,0.0,253952,0,507727,177,253775,0,0.0
Spectralis_TRAIN043_002.tiff,0.9997715353965759,0.0,253952,0,507788,116,253836,0,0.0
Spectralis_TRAIN043_003.tiff,0.9995232820510864,0.0,253952,0,507662,242,253710,0,0.0
Spectralis_TRAIN043_004.tiff,0.9998148679733276,0.0,253952,0,507810,94,253858,0,0.0
Spectralis_TRAIN043_005.tiff,0.9994188547134399,0.0,253952,0,507609,295,253657,0,0.0
Spectralis_TRAIN043_006.tiff,0.9995055794715881,0.0,253952,0,507653,251,253701,0,0.0
Spectralis_TRAIN043_007.tiff,0.9994819164276123,0.0,253952,0,507641,263,253689,0,0.0
Spectralis_TRAIN043_008.tiff,0.9989771246910095,0.0,253952,0,507385,519,253433,0,0.0
Spectralis_TRAIN043_009.tiff,0.9980786442756653,0.0,253952,0,506930,974,252978,0,0.0
Spectralis_TRAIN043_010.tiff,0.9986238479614258,0.0,253952,0,507206,698,253254,0,0.0
Spectralis_TRAIN043_011.tiff,0.9975150227546692,0.0,253952,0,506645,1259,252693,0,0.0
Spectralis_TRAIN043_012.tiff,0.9990363121032715,0.0,253952,0,507415,489,253463,0,0.0
Spectralis_TRAIN043_013.tiff,0.9981359243392944,0.0,253952,0,506959,945,253007,0,0.0
Spectralis_TRAIN043_014.tiff,0.9988527894020081,0.0,253952,0,507322,582,253370,0,0.0
Spectralis_TRAIN043_015.tiff,0.9985876083374023,0.25879916548728943,253827,125,506938,966,253111,125,0.25879916548728943
Spectralis_TRAIN043_016.tiff,0.9965813159942627,0.5592222809791565,252859,1093,503995,3909,251136,1093,0.5592222809791565
Spectralis_TRAIN043_017.tiff,0.996460497379303,0.696498692035675,251897,2055,502049,5855,250136,2039,0.696498692035675
Spectralis_TRAIN043_018.tiff,0.9948620796203613,0.6575196385383606,251479,2473,500397,7507,248913,2468,0.6575196385383606
Spectralis_TRAIN043_019.tiff,0.9959708452224731,0.7138400673866272,251307,2645,500852,7052,249417,2517,0.7138400673866272
Spectralis_TRAIN043_020.tiff,0.9907629489898682,0.477679580450058,251769,2183,499078,8826,247234,2108,0.477679580450058
Spectralis_TRAIN043_021.tiff,0.9918172955513,0.45099878311157227,251971,1981,500445,7459,248175,1682,0.45099878311157227
Spectralis_TRAIN043_022.tiff,0.9901713728904724,0.31870412826538086,252801,1151,500681,7223,247880,1151,0.31870412826538086
Spectralis_TRAIN043_023.tiff,0.9876400232315063,0.363974392414093,252169,1783,498222,9682,246032,1762,0.363974392414093
Spectralis_TRAIN043_024.tiff,0.9891136288642883,0.29623883962631226,252543,1409,500167,7737,247361,1146,0.29623883962631226
Spectralis_TRAIN043_025.tiff,0.9849854707717896,0.1850239485502243,253100,852,498716,9188,245614,850,0.1850239485502243
