Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.13819540823824356 (0.2693905619618806),0.28991068160976285 (0.3926120780305019),0.23606455548724625 (0.38203558432676193)
Spectralis,0.26447327649220825 (0.3616953802526951),0.6696892814976828 (0.44162606106007785),0.6520995727303077 (0.41857947689198866)
Topcon,0.3892463513184339 (0.4520607654098388),0.5321103661699453 (0.4726951903077954),0.2839267838098749 (0.378027155133129)
