Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6548724905773997 (0.21690692142785936),0.6056911434759112 (0.23913043097398284),0.5267415286406226 (0.13633150603352978)
Spectralis,0.6412476851970335 (0.17792142013925735),0.8559913576626387 (0.13506288286960974),0.5915336546338634 (0.19197762414079791)
Topcon,0.48152776055491575 (0.23245897043478478),0.6461048764057267 (0.21071290897430786),0.5684683269999445 (0.12317588544856373)
