Device,PSNR,SSIM,MSE
Cirrus,20.538319444444443 (0.4640448999010173),0.17794841269841272 (0.042474659940228955),0.008884801599566661 (0.0009555704215745594)
Spectralis,24.759821276595744 (1.0754603595741985),0.48323829787234046 (0.05634670814216128),0.00344705742070491 (0.0008797031666320114)
T-1000,21.651119047619048 (0.8412257524872245),0.19450396825396826 (0.021200334135507294),0.007000919108072089 (0.0019915904788084743)
T-2000,22.512 (0.7096703189942108),0.2658885350318472 (0.04100530234263901),0.00569083768752801 (0.0010880909418828463)
