Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6251485538108187 (0.23911953166905123),0.7973698990212547 (0.15113061132987818),0.5655375970717043 (0.27664963440937446)
Spectralis,0.6781874049987112 (0.20785363179837557),0.8391469225548861 (0.18289850687814577),0.8084569705857171 (0.1459830981539934)
Topcon,0.5580817646783801 (0.2854689059342025),0.6660429457338845 (0.2768625388099744),0.40680265436842017 (0.28069703091629544)
