Volume,dice_IRF
TRAIN003,0.5652173913043478 (0.4984447862792269)
TRAIN005,0.6171875 (0.48798305362985855)
TRAIN006,0.1038961038961039 (0.3071265633345206)
TRAIN009,0.8571428571428571 (0.3518657752744984)
TRAIN020,0.6075949367088608 (0.4914061852972482)
TRAIN030,0.5666666666666667 (0.5040069329937309)
TRAIN036,0.23076923076923078 (0.42966892442365967)
TRAIN038,0.3877551020408163 (0.4922874554317937)
TRAIN045,0.4666666666666667 (0.5074162634049248)
TRAIN047,0.8 (0.408248290463863)
TRAIN055,0.8870967741935484 (0.3177583429940984)
TRAIN058,0.734375 (0.4434008690887529)
TRAIN061,0.8933333333333333 (0.3107677212591047)
TRAIN066,0.9111111111111111 (0.2861776161146145)
