Device,PSNR,SSIM
Cirrus,18.84920194003527 (0.37742341127960655),0.12503086419753087 (0.016767922128030358)
Spectralis,23.088319148936172 (1.209180006122198),0.4183696808510638 (0.05935231788479594)
T-1000,20.044650793650796 (0.8990038251137134),0.15954761904761905 (0.019500375782611525)
T-2000,21.068692063492062 (0.7885322081812108),0.21957460317460317 (0.03870831762271405)
