Volume,dice_PED
TRAIN004,0.5186608372314367 (0.3612692561562788)
TRAIN006,0.6640625 (0.47417302649467313)
TRAIN007,0.4609375 (0.5004304249705651)
TRAIN021,0.6640625 (0.4741730264946732)
TRAIN023,0.6497824417892843 (0.43592505952514815)
TRAIN026,0.4489795918367347 (0.5025445456953674)
TRAIN029,0.6326530612244898 (0.4870779177494949)
TRAIN034,0.30612244897959184 (0.465657314657332)
TRAIN046,0.539665480049289 (0.35848085687539394)
TRAIN050,0.8298216325929388 (0.26108267090160103)
TRAIN054,0.765625 (0.4252720296617195)
TRAIN055,0.5851094514364377 (0.40434234063992475)
TRAIN066,0.90625 (0.29262590667923194)
TRAIN070,0.734375 (0.44340086908875304)
