Volume,dice_PED
TRAIN003,0.40625 (0.49306210178888454)
TRAIN010,0.59375 (0.49306210178888465)
TRAIN013,0.3064516129032258 (0.46478303337375604)
TRAIN015,0.4090909090909091 (0.4973502728147657)
TRAIN024,0.050505050505050504 (0.22009911374694652)
TRAIN025,0.85 (0.36634754853252327)
TRAIN031,0.696969696969697 (0.4666937221594375)
TRAIN036,0.7346938775510204 (0.4460712855998855)
TRAIN038,0.625 (0.5)
TRAIN041,0.6326530612244898 (0.4870779177494949)
TRAIN052,0.765625 (0.4252720296617195)
TRAIN053,0.23529411764705882 (0.43056154520204615)
TRAIN065,0.8984375 (0.3032590366453844)
TRAIN069,0.029850746268656716 (0.17145979772029105)
