vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.60 (0.20),0.72 (0.13),0.58 (0.25)
Spectralis,0.64 (0.15),0.76 (0.13),0.63 (0.13)
Topcon,0.63 (0.16),0.79 (0.07),0.63 (0.16)
