Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.7965374359773705 (0.33030084357434014),0.8449363648542203 (0.3519843001036566),0.8272291864210274 (0.33726224008307937)
Spectralis,0.7340927466902197 (0.34130348722348297),0.7822739550349663 (0.38742245706884854),0.6588235582244031 (0.380831936869194)
Topcon,0.5334507698309607 (0.4333347561741554),0.7555319411563687 (0.3770521418526308),0.5529179243603721 (0.4349913640345017)
