Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6904231625835189 (0.4628348681512477),0.8891509433962265 (0.3143160022433593),0.7008547008547008 (0.45837357504914744)
Spectralis,0.8785714285714286 (0.32779747087433964),0.8351063829787234 (0.3720753896376552),0.900497512437811 (0.30008290728360576)
Topcon,0.4746268656716418 (0.500102768954138),0.8402948402948403 (0.36678326313528675),0.696 (0.4605971478638581)
