Volume,dice_PED
TRAIN003,nan (nan)
TRAIN005,0.6645622975745443 (0.11535327874946971)
TRAIN006,nan (nan)
TRAIN009,0.5265577094895499 (0.14459177531638687)
TRAIN020,0.5071376837920725 (0.20695833277089196)
TRAIN030,0.6532215112820268 (0.19781163521600212)
TRAIN036,nan (nan)
TRAIN038,0.626041733631582 (0.1930299436486961)
TRAIN045,0.24815163775705373 (0.1355161522930534)
TRAIN047,nan (nan)
TRAIN055,0.6432549504022445 (0.15075594720002516)
TRAIN058,0.418309548541027 (0.19397541738746577)
TRAIN061,0.5747102102485754 (0.19184570266174186)
TRAIN066,nan (nan)
