Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.39285714285714285 (0.4928053803045811),0.35964912280701755 (0.48201628479184544),0.5625 (0.49802760572381133)
TRAIN017,0.7804878048780488 (0.4164633650362828),0.359375 (0.4817026069836068),0.7413793103448276 (0.44170105106485397)
TRAIN019,0.45652173913043476 (0.5008354224706334),0.015625 (0.12450690143095285),0.859375 (0.3490002594588752)
TRAIN021,0.36585365853658536 (0.4846328665668685),0.0 (0.0),0.4765625 (0.5014128660143499)
TRAIN023,0.921875 (0.269422684043429),0.53125 (0.5009832851188789),0.8113207547169812 (0.39311230788765483)
TRAIN025,0.0 (0.0),0.16326530612244897 (0.3734377890799553),0.5 (0.512989176042577)
TRAIN031,0.08163265306122448 (0.27664166758624403),0.061224489795918366 (0.24222607082590245),0.3939393939393939 (0.49619766344887317)
TRAIN035,0.12244897959183673 (0.331200660553418),0.3333333333333333 (0.5163977794943223),0.07692307692307693 (0.2773500981126146)
TRAIN037,nan (nan),0.1935483870967742 (0.40160966445124946),0.4897959183673469 (0.5050762722761055)
TRAIN053,0.7647058823529411 (0.4305615452020461),0.29411764705882354 (0.46017899330842227),0.17647058823529413 (0.3869529949759474)
TRAIN057,0.828125 (0.37875417411488527),0.46938775510204084 (0.5042337758225566),0.11764705882352941 (0.32703497008386434)
TRAIN060,0.8333333333333334 (0.3747658444979307),0.4609375 (0.5004304249705652),0.203125 (0.4039056372217743)
TRAIN065,1.0 (0.0),0.9765625 (0.1518828677363284),0.953125 (0.21220162006698995)
TRAIN070,0.8686868686868687 (0.3394612973180146),0.859375 (0.34900025945887514),0.5234375 (0.5014128660143498)
