Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.24944320712694878 (0.43317340432933205),0.7712264150943396 (0.4205393426136681),0.6645299145299145 (0.472659785885303)
Spectralis,0.5142857142857142 (0.5015904816732883),0.7925531914893617 (0.40656099428661535),0.77 (0.4218885513364207)
Topcon,0.6955223880597015 (0.46087421349532987),0.918918918918919 (0.2732955433240704),0.8053333333333333 (0.39647286267510107)
