Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.618521938121867 (0.19726316171860603),0.7036752223968505 (0.1720590466385228),nan (nan)
TRAIN010,0.8547566541854072 (0.09214481727325065),nan (nan),nan (nan)
TRAIN011,0.5643056468928561 (0.22296461650152283),0.7384220012804357 (0.1558327175790808),0.2457429434765469 (0.2149687810899974)
TRAIN013,0.4175918876296944 (0.25143299568907906),0.7622061518522409 (0.13066224960217565),0.3306364645955689 (0.17173666946103847)
TRAIN015,nan (nan),0.8296993598341942 (0.08653581281999417),0.7950349623958269 (0.09299055044296883)
TRAIN028,nan (nan),0.7687972209283284 (0.10256002087369631),0.6132728701288049 (0.23985154169268832)
TRAIN029,0.6995816861881929 (0.1293474051377773),0.8895125885804495 (0.07320465056513492),nan (nan)
TRAIN032,0.6768980123558823 (0.1322640842757813),0.8670633768334108 (0.12559289906673354),nan (nan)
TRAIN041,0.7666351000467936 (0.10927023238089552),nan (nan),nan (nan)
TRAIN046,0.6270565651357174 (0.19244775485968604),0.6181812087694804 (0.22627361003183188),0.7841837020481334 (0.1685259727166113)
TRAIN049,nan (nan),0.5879478517331576 (0.2877195488020432),0.41610267604219503 (0.2391193522800039)
TRAIN050,0.43754064684381355 (0.2521167223438037),nan (nan),0.4768864085728472 (0.22224096728139467)
TRAIN051,0.6313324230057853 (0.1647976131505862),0.8132753507657484 (0.09751077613120965),nan (nan)
TRAIN056,0.6149778299861484 (0.3576058946876129),nan (nan),nan (nan)
