Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.2585328590357676 (0.35374672080915753),0.7542780133662745 (0.18110974599432908),0.5019918071920983 (0.3370866111287238)
TRAIN007,0.44590059539768845 (0.34237234584515946),0.3359375 (0.47417302649467324),0.25 (0.43471413360133115)
TRAIN018,0.41818287363275886 (0.4921087057209544),0.5078125 (0.5019033653891718),0.671875 (0.4713755210973134)
TRAIN022,0.5116640271153301 (0.29707055599652826),0.25 (0.43471413360133104),0.2265625 (0.4202519632297096)
TRAIN024,0.46875 (0.500983285118879),0.390625 (0.48980753089640694),0.16058536851778626 (0.2900021038222399)
TRAIN026,0.8496437705292994 (0.28631801316898514),0.7551020408163265 (0.43448303787844433),0.7346938775510204 (0.4460712855998855)
TRAIN034,0.7050419559284132 (0.3080222388086407),0.7346938775510204 (0.4460712855998855),0.5306122448979592 (0.5042337758225565)
TRAIN040,0.6217788585594722 (0.35547579295559795),0.31608161634328413 (0.43478432759149904),0.3877551020408163 (0.49228745543179364)
TRAIN043,0.4202158998469917 (0.41034045956298065),0.677793911221076 (0.38402417013500595),0.57138826652449 (0.3921321822897522)
TRAIN044,0.514408857238536 (0.3919546418947812),0.7376108884203191 (0.2834643954069673),0.34792438210273274 (0.32787597495189724)
TRAIN052,0.35184113640571013 (0.4328880093116958),0.6560609790030867 (0.45327687335500233),0.609375 (0.4898075308964068)
TRAIN054,0.570686609717086 (0.42518046044737673),0.9282317305915058 (0.23537619335342133),0.6640625 (0.47417302649467324)
TRAIN059,0.46364176215138286 (0.34726753128968196),0.8683585191611201 (0.30223321704918765),0.6328125 (0.4839322811674227)
TRAIN069,0.0 (0.0),0.6053046218585223 (0.4886993926491643),0.21221446414710954 (0.2511198993358672)
