Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.5510591394267976 (0.34034100732571276),0.9597783195786178 (0.1574173435711538),0.859375 (0.3490002594588753)
TRAIN010,0.7869181141722947 (0.37249147918613257),0.9453125 (0.22826265262341358),0.8671875 (0.34070546889569187)
TRAIN011,0.4841051026596688 (0.45025681534948564),0.4612592780031264 (0.43948320704344207),0.30450447130715474 (0.4338205409812445)
TRAIN013,0.4153528163442388 (0.4395407871360978),0.8402275193948299 (0.2239090352068042),0.644853320751281 (0.3602243349711401)
TRAIN015,0.2109375 (0.4095771537596914),0.859882146352902 (0.13327348361428393),0.8136215233244002 (0.23473773628546624)
TRAIN028,0.8571428571428571 (0.3535533905932738),0.9493575083966158 (0.09440412363185413),0.8424920175148516 (0.30908066114513666)
TRAIN029,0.8193613704369993 (0.2919970928399925),0.8860789634743516 (0.30364799069562404),0.9795918367346939 (0.14285714285714285)
TRAIN032,0.693629230771746 (0.13309977234777914),0.8942285429458229 (0.15413788840888157),0.6530612244897959 (0.4809288065886704)
TRAIN041,0.8824379371137036 (0.30818619357987653),0.8979591836734694 (0.3058388709205983),1.0 (0.0)
TRAIN046,0.677363709983777 (0.3138801835660972),0.6124839886110656 (0.4800225779554895),0.8036442697048187 (0.25990265916513833)
TRAIN049,0.7734375 (0.42025196322970965),0.8458039867982734 (0.3283359774049525),0.762908045493532 (0.3673549435689016)
TRAIN050,0.8101788531348575 (0.3140732127521186),0.984375 (0.12450690143095285),0.8277162280865014 (0.27210347414649383)
TRAIN051,0.6991107779322192 (0.363826543155888),0.9480395270511508 (0.15073696697929675),0.8828125 (0.32290740609869234)
TRAIN056,0.8357463090214878 (0.3041447556807906),0.765625 (0.42695628191498325),0.890625 (0.3145764348029479)
