Volume,dice_IRF,dice_SRF,dice_PED
D2S1,0.3157894736842105 (0.47756693294091923),0.7502231150865555 (0.39134596958780854),0.5789473684210527 (0.5072572735017881)
D3S1,0.5789473684210527 (0.5072572735017881),0.5974373268453699 (0.41812303398745376),0.22063469651498294 (0.41457818759114623)
D4S1,0.775684223363274 (0.37880205384081933),0.631578947368421 (0.4955946277833521),0.3684210526315789 (0.4955946277833521)
D4S2,0.6894587709715492 (0.42985701903465434),0.3323158668844323 (0.41125186042368783),0.21052631578947367 (0.41885390829169555)
D5S2,0.15789473684210525 (0.3746343246326776),0.472958936503059 (0.3270783372976949),0.0 (0.0)
D5S3,0.21052631578947367 (0.4188539082916955),0.6918884594189493 (0.20812286358272078),0.0 (0.0)
