Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.20325729203070567 (0.18231731353591515),0.20650470703840257 (0.19314868425915097),nan (nan)
TRAIN010,0.12966359476558864 (0.14871152167295076),nan (nan),nan (nan)
TRAIN011,0.44199449322460327 (0.18598461743560454),0.396950238452452 (0.28755494826281613),0.02268176902593537 (0.03399320229810778)
TRAIN013,0.08994475644754453 (0.1016357256362154),0.07361083994261347 (0.13615729903676477),0.12870423491536218 (0.08191461833689007)
TRAIN015,nan (nan),0.29984556075185537 (0.167994431048163),0.24176944925316743 (0.10537417640799496)
TRAIN028,nan (nan),0.6954532648835864 (0.13968667737221088),0.2174418859861114 (0.1845147332818957)
TRAIN029,0.6484352481715819 (0.15837154231263512),0.8099424143632253 (0.07263314677011343),nan (nan)
TRAIN032,0.5994220144894659 (0.1389113519025326),0.7801717348835048 (0.1497144577758313),nan (nan)
TRAIN041,0.47282511989275616 (0.18379229860185656),nan (nan),nan (nan)
TRAIN046,0.35036539451943505 (0.18870290269564227),0.42016445845365524 (0.322763770341258),0.3618736842816526 (0.19563488621961633)
TRAIN049,nan (nan),0.37459926008197825 (0.2922029815559646),0.3623962365090847 (0.14717228753964387)
TRAIN050,0.11457766791352549 (0.14726776908293182),nan (nan),0.24453112948685884 (0.149857508706168)
TRAIN051,0.14275579246673353 (0.10427557026515291),0.33380139483646915 (0.16390859549536257),nan (nan)
TRAIN056,0.2975971414535134 (0.27392312693637577),nan (nan),nan (nan)
