Volume,dice_IRF
TRAIN001,0.6495746846000353 (0.17804160563037133)
TRAIN006,0.6379997007110539 (0.2572623860663733)
TRAIN009,0.40921687976633375 (0.2720262476236451)
TRAIN013,0.42128858177198303 (0.21762327622182812)
TRAIN024,nan (nan)
TRAIN028,nan (nan)
TRAIN031,nan (nan)
TRAIN032,0.6837015726736614 (0.1202759510613813)
TRAIN038,nan (nan)
TRAIN041,0.7187341849009196 (0.24542704287276929)
TRAIN049,nan (nan)
TRAIN051,0.6469618903130901 (0.16669235241811745)
TRAIN053,0.5841232956723964 (0.2113693392601336)
TRAIN065,0.5743700739694759 (0.19760803098576915)
