slice,dice_Background,dice_PED,voxels_Background,voxels_PED,union_Background,union_PED,intersection_Background,intersection_PED,binary_dice
Cirrus_TRAIN004_000.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_001.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_002.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_003.tiff,0.9999980330467224,0.0,253952,0,507903,1,253951,0,0.0
Cirrus_TRAIN004_004.tiff,0.9999940991401672,0.0,253952,0,507901,3,253949,0,0.0
Cirrus_TRAIN004_005.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_006.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_007.tiff,0.9999133348464966,0.0,253952,0,507860,44,253908,0,0.0
Cirrus_TRAIN004_008.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_009.tiff,0.9998463988304138,0.0,253952,0,507826,78,253874,0,0.0
Cirrus_TRAIN004_010.tiff,0.9999566674232483,0.0,253952,0,507882,22,253930,0,0.0
Cirrus_TRAIN004_011.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_012.tiff,0.9994954466819763,0.5114504098892212,253710,242,507380,524,253562,134,0.5114504098892212
Cirrus_TRAIN004_013.tiff,0.9993215203285217,0.60550457239151,253586,366,507032,872,253344,264,0.60550457239151
Cirrus_TRAIN004_014.tiff,0.9991410970687866,0.7006193995475769,253081,871,506451,1453,253008,509,0.7006193995475769
Cirrus_TRAIN004_015.tiff,0.9984453320503235,0.25095057487487793,253213,739,506852,1052,253032,132,0.25095057487487793
Cirrus_TRAIN004_016.tiff,0.9986265301704407,0.39792388677597046,253124,828,506748,1156,253026,230,0.39792388677597046
Cirrus_TRAIN004_017.tiff,0.9977023601531982,0.46402212977409363,252702,1250,505736,2168,252287,503,0.46402212977409363
Cirrus_TRAIN004_018.tiff,0.9981558918952942,0.6283891797065735,252707,1245,505396,2508,252232,788,0.6283891797065735
Cirrus_TRAIN004_019.tiff,0.9979913234710693,0.6088631749153137,252854,1098,505309,2595,252147,790,0.6088631749153137
Cirrus_TRAIN004_020.tiff,0.9979665279388428,0.6410346031188965,252812,1140,505043,2861,252008,917,0.6410346031188965
Cirrus_TRAIN004_021.tiff,0.9981163740158081,0.7332959175109863,252262,1690,504342,3562,251696,1306,0.7332959175109863
Cirrus_TRAIN004_022.tiff,0.998283326625824,0.7485482096672058,252393,1559,504460,3444,251797,1289,0.7485482096672058
Cirrus_TRAIN004_023.tiff,0.9978209733963013,0.7259111404418945,252110,1842,503898,4006,251400,1454,0.7259111404418945
Cirrus_TRAIN004_024.tiff,0.9973208904266357,0.7371707558631897,252038,1914,502779,5125,250716,1889,0.7371707558631897
Cirrus_TRAIN004_025.tiff,0.9967938661575317,0.7034787535667419,252015,1937,502471,5433,250430,1911,0.7034787535667419
Cirrus_TRAIN004_026.tiff,0.9965784549713135,0.7033839821815491,251673,2279,502112,5792,250197,2037,0.7033839821815491
Cirrus_TRAIN004_027.tiff,0.9967021346092224,0.763052225112915,251123,2829,500932,6972,249640,2660,0.763052225112915
Cirrus_TRAIN004_028.tiff,0.99638432264328,0.7315555810928345,251424,2528,501154,6750,249671,2469,0.7315555810928345
Cirrus_TRAIN004_029.tiff,0.997637927532196,0.850977897644043,250295,3657,499979,7925,249399,3372,0.850977897644043
Cirrus_TRAIN004_030.tiff,0.9971978068351746,0.8312846422195435,250362,3590,499606,8298,249103,3449,0.8312846422195435
Cirrus_TRAIN004_031.tiff,0.9977642893791199,0.8652430772781372,250017,3935,499615,8289,249249,3586,0.8652430772781372
Cirrus_TRAIN004_032.tiff,0.9960805177688599,0.7725211977958679,250301,3651,499301,8603,248672,3323,0.7725211977958679
Cirrus_TRAIN004_033.tiff,0.99537593126297,0.7496743202209473,249984,3968,498692,9212,248193,3453,0.7496743202209473
Cirrus_TRAIN004_034.tiff,0.9967958331108093,0.8471423387527466,249225,4727,497476,10428,247941,4417,0.8471423387527466
Cirrus_TRAIN004_035.tiff,0.9965037107467651,0.8583571910858154,248225,5727,495669,12235,246968,5251,0.8583571910858154
Cirrus_TRAIN004_036.tiff,0.9963467121124268,0.8579505085945129,247849,6103,495169,12735,246680,5463,0.8579505085945129
Cirrus_TRAIN004_037.tiff,0.9970060586929321,0.8881673216819763,247555,6397,494661,13243,246590,5881,0.8881673216819763
Cirrus_TRAIN004_038.tiff,0.9963710308074951,0.8703073859214783,247151,6801,494079,13825,246143,6016,0.8703073859214783
Cirrus_TRAIN004_039.tiff,0.9971906542778015,0.8997109532356262,247268,6684,494064,13840,246338,6226,0.8997109532356262
Cirrus_TRAIN004_040.tiff,0.9962639808654785,0.8688046932220459,247161,6791,493841,14063,245998,6109,0.8688046932220459
Cirrus_TRAIN004_041.tiff,0.994228720664978,0.7949953079223633,246682,7270,493997,13907,245573,5528,0.7949953079223633
Cirrus_TRAIN004_042.tiff,0.992820143699646,0.7418134212493896,246480,7472,494162,13742,245307,5097,0.7418134212493896
Cirrus_TRAIN004_043.tiff,0.9927866458892822,0.7548053860664368,246418,7534,493389,14515,244915,5478,0.7548053860664368
Cirrus_TRAIN004_044.tiff,0.9922140836715698,0.7213732004165649,246401,7551,494097,13807,245125,4980,0.7213732004165649
Cirrus_TRAIN004_045.tiff,0.9935611486434937,0.7758268117904663,246240,7712,493723,14181,245272,5501,0.7758268117904663
Cirrus_TRAIN004_046.tiff,0.9944092631340027,0.8109405040740967,247027,6925,493316,14588,245279,5915,0.8109405040740967
Cirrus_TRAIN004_047.tiff,0.9932960867881775,0.763719379901886,247053,6899,493891,14013,245290,5351,0.763719379901886
Cirrus_TRAIN004_048.tiff,0.995231568813324,0.808679461479187,247565,6387,495553,12351,246595,4994,0.808679461479187
Cirrus_TRAIN004_049.tiff,0.9955078363418579,0.8200775980949402,248045,5907,495532,12372,246653,5073,0.8200775980949402
Cirrus_TRAIN004_050.tiff,0.995481014251709,0.8058176636695862,248380,5572,496353,11551,247055,4654,0.8058176636695862
Cirrus_TRAIN004_051.tiff,0.99605792760849,0.8293363451957703,248280,5672,496437,11467,247240,4755,0.8293363451957703
Cirrus_TRAIN004_052.tiff,0.9954515695571899,0.7991821765899658,248138,5814,496655,11249,247198,4495,0.7991821765899658
Cirrus_TRAIN004_053.tiff,0.9947804808616638,0.766753613948822,248133,5819,496787,11117,247097,4262,0.766753613948822
Cirrus_TRAIN004_054.tiff,0.9934695363044739,0.6964569687843323,248423,5529,497207,10697,246980,3725,0.6964569687843323
Cirrus_TRAIN004_055.tiff,0.99578857421875,0.8165306448936462,248294,5658,496507,11397,247208,4653,0.8165306448936462
Cirrus_TRAIN004_056.tiff,0.9938185214996338,0.7273534536361694,248188,5764,496644,11260,246787,4095,0.7273534536361694
Cirrus_TRAIN004_057.tiff,0.9948389530181885,0.7732059359550476,247920,6032,496603,11301,247020,4369,0.7732059359550476
Cirrus_TRAIN004_058.tiff,0.9952638745307922,0.7648115158081055,248380,5572,497878,10026,247760,3834,0.7648115158081055
Cirrus_TRAIN004_059.tiff,0.9939000606536865,0.6867979168891907,248415,5537,498201,9703,247581,3332,0.6867979168891907
Cirrus_TRAIN004_060.tiff,0.9943856000900269,0.7322404384613037,248234,5718,497473,10431,247340,3819,0.7322404384613037
Cirrus_TRAIN004_061.tiff,0.9949740171432495,0.7615869045257568,248751,5201,497418,10486,247459,3993,0.7615869045257568
Cirrus_TRAIN004_062.tiff,0.9954895973205566,0.7885358929634094,248405,5547,497297,10607,247527,4182,0.7885358929634094
Cirrus_TRAIN004_063.tiff,0.9941540956497192,0.735307514667511,248197,5755,496929,10975,247012,4035,0.735307514667511
Cirrus_TRAIN004_064.tiff,0.9947382807731628,0.7561521530151367,248265,5687,497176,10728,247280,4056,0.7561521530151367
Cirrus_TRAIN004_065.tiff,0.996488630771637,0.826862096786499,249347,4605,497808,10096,248030,4174,0.826862096786499
Cirrus_TRAIN004_066.tiff,0.996114194393158,0.8102433085441589,249244,4708,497712,10192,247889,4129,0.8102433085441589
Cirrus_TRAIN004_067.tiff,0.9969530701637268,0.8435051441192627,249224,4728,498204,9700,248343,4091,0.8435051441192627
Cirrus_TRAIN004_068.tiff,0.9954225420951843,0.7566125988960266,249383,4569,498528,9376,248123,3547,0.7566125988960266
Cirrus_TRAIN004_069.tiff,0.9944056272506714,0.7080016732215881,249352,4600,498356,9548,247784,3380,0.7080016732215881
