Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.5853658536585366 (0.49877899695644573),0.9915254237288136 (0.09205746178983233),0.9296875 (0.2566775528590926)
TRAIN010,0.9148936170212766 (0.2805361406225206),0.953125 (0.2122016200669899),0.859375 (0.3490002594588753)
TRAIN011,0.5425531914893617 (0.5008571924688409),0.40229885057471265 (0.4932042860614262),0.4056603773584906 (0.4933520309222354)
TRAIN013,0.5652173913043478 (0.4984447862792268),0.8412698412698413 (0.3683594495540747),0.9032258064516129 (0.2980635546352455)
TRAIN015,0.390625 (0.489807530896407),1.0 (0.0),0.7954545454545454 (0.4080324573583922)
TRAIN028,0.9387755102040817 (0.24222607082590245),1.0 (0.0),0.8947368421052632 (0.31101174777590485)
TRAIN029,0.8125 (0.396557769456266),0.9534883720930233 (0.21308263231644636),0.9795918367346939 (0.14285714285714285)
TRAIN032,nan (nan),0.9333333333333333 (0.2581988897471611),0.7346938775510204 (0.44607128559988557)
TRAIN041,0.9782608695652174 (0.14744195615489714),0.9795918367346939 (0.14285714285714285),1.0 (0.0)
TRAIN046,0.6923076923076923 (0.4803844614152614),0.6086956521739131 (0.49343516379516894),0.9333333333333333 (0.2581988897471611)
TRAIN049,0.9296875 (0.2566775528590926),0.9357798165137615 (0.24627707062327345),0.9191919191919192 (0.2739271345377727)
TRAIN050,0.989010989010989 (0.10482848367219183),0.9765625 (0.1518828677363284),1.0 (0.0)
TRAIN051,0.9113924050632911 (0.2859923532114514),1.0 (0.0),0.9375 (0.2430125883781254)
TRAIN056,0.972972972972973 (0.1643989873053573),1.0 (0.0),0.96875 (0.17536809360305045)
