Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.34658250191973317 (0.15751892732482836),nan (nan),nan (nan)
TRAIN005,nan (nan),0.46645069576122544 (0.27297850515356553),0.6566314528049049 (0.21547203490069178)
TRAIN006,0.5547151109842839 (0.29048277726217764),nan (nan),nan (nan)
TRAIN009,0.16734692867140513 (0.16520032354943467),nan (nan),0.2273247739566224 (0.12306460632584092)
TRAIN020,0.3772609016801022 (0.17667210642457917),0.6714486893394898 (0.13189482270786965),0.3360967186132544 (0.24774185073350613)
TRAIN030,0.442445462250984 (0.3050343431262142),0.8766324371099472 (0.12279117039831323),0.7078053294681013 (0.2361193073690249)
TRAIN036,0.5507857673194098 (0.2542934076578581),nan (nan),nan (nan)
TRAIN038,nan (nan),0.8385306306183338 (0.13254884539146705),0.6974186093518229 (0.19058944110413167)
TRAIN045,0.5358640292757436 (0.2479777798833589),nan (nan),0.23844697441046053 (0.13564862014652088)
TRAIN047,0.5641666563848654 (0.21487536829484782),nan (nan),nan (nan)
TRAIN055,0.0 (0.0),nan (nan),0.6226932755821655 (0.1893165534112974)
TRAIN058,nan (nan),nan (nan),0.579831596244784 (0.21767611634933567)
TRAIN061,0.5260525570725495 (0.2531240746303992),0.45808914354810976 (0.25894831116865047),0.3906653551226955 (0.1890567274462607)
TRAIN066,0.589824903952448 (0.21955039721069386),nan (nan),nan (nan)
