Volume,dice_IRF
TRAIN004,0.4978775836061686 (0.4359032241996956)
TRAIN007,0.5901293326169252 (0.3420844060784136)
TRAIN018,0.7378052547574043 (0.43764838726719746)
TRAIN022,0.5476740337908268 (0.3002516252161623)
TRAIN024,0.5078125 (0.5019033653891718)
TRAIN026,0.8446373513766697 (0.30509797285259627)
TRAIN034,0.6851392360974331 (0.335440185574308)
TRAIN040,0.676934974534171 (0.3289926603871556)
TRAIN043,0.772147245553075 (0.3199517143896924)
TRAIN044,0.4939968500818525 (0.3808177940487677)
TRAIN052,0.6513261292711832 (0.4360453261741407)
TRAIN054,0.8078681309707463 (0.2990402250332925)
TRAIN059,0.6319930964382365 (0.3268773787184823)
TRAIN069,0.5546875 (0.49895313635998373)
