Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.0 (0.0),0.00847457627118644 (0.09205746178983233),0.2578125 (0.43914902946350703)
TRAIN010,0.02127659574468085 (0.14507865158346245),0.0078125 (0.08838834764831843),0.0390625 (0.1945049743306584)
TRAIN011,0.4148936170212766 (0.4953455287595168),0.3103448275862069 (0.46531671703600713),0.08490566037735849 (0.28006545249627046)
TRAIN013,0.29347826086956524 (0.4578507717505198),0.8412698412698413 (0.3683594495540747),0.08064516129032258 (0.27451221100817447)
TRAIN015,0.0 (0.0),0.0 (0.0),0.06818181818181818 (0.25497170592935275)
TRAIN028,0.14285714285714285 (0.3535533905932738),0.7714285714285715 (0.4260429614980358),0.4473684210526316 (0.5038966228735666)
TRAIN029,0.1875 (0.396557769456266),0.3023255813953488 (0.4647008111181006),0.3877551020408163 (0.4922874554317937)
TRAIN032,nan (nan),0.0 (0.0),0.04081632653061224 (0.19991494790174602)
TRAIN041,0.06521739130434782 (0.24963741822833801),0.3469387755102041 (0.48092880658867043),0.40816326530612246 (0.4965869908241478)
TRAIN046,0.15384615384615385 (0.3755338080994054),0.17391304347826086 (0.38322304651683264),0.375 (0.49999999999999994)
TRAIN049,0.484375 (0.5017194843185602),0.1834862385321101 (0.3888524811849388),0.15151515151515152 (0.3603749850782236)
TRAIN050,0.43956043956043955 (0.4990834089450871),0.0078125 (0.08838834764831843),0.0 (0.0)
TRAIN051,0.5822784810126582 (0.49633515704686887),0.14150943396226415 (0.35020209798623747),0.0703125 (0.2566775528590926)
TRAIN056,0.972972972972973 (0.1643989873053573),0.046875 (0.21304202581158665),0.1875 (0.3933978962347216)
