vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.55 (0.20),0.79 (0.05),0.72 (0.19)
Spectralis,0.64 (0.22),0.84 (0.06),0.87 (0.03)
Topcon,0.75 (0.16),0.86 (0.09),0.83 (0.09)
