Volume,dice_PED
TRAIN008,0.375 (0.48602517675625095)
TRAIN017,0.25862068965517243 (0.44170105106485397)
TRAIN019,0.3515625 (0.4793342454880913)
TRAIN021,0.265625 (0.4434008690887531)
TRAIN023,0.36792452830188677 (0.48453161866680133)
TRAIN025,0.35 (0.48936048492959294)
TRAIN031,0.2727272727272727 (0.45226701686664533)
TRAIN035,0.15384615384615385 (0.3755338080994054)
TRAIN037,0.08163265306122448 (0.2766416675862441)
TRAIN053,0.11764705882352941 (0.32703497008386434)
TRAIN057,0.11764705882352941 (0.32703497008386434)
TRAIN060,0.015625 (0.12450690143095283)
TRAIN065,0.65625 (0.47682513013096256)
TRAIN070,0.0 (0.0)
