Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.9239130434782609 (0.2665900112789531),0.640625 (0.4817026069836068),0.90625 (0.2926259066792319)
TRAIN005,0.703125 (0.45867620198536196),0.6438356164383562 (0.48217859225079873),0.6086956521739131 (0.49161771686915634)
TRAIN006,0.5454545454545454 (0.5011947448335863),0.734375 (0.443400869088753),0.90625 (0.29262590667923183)
TRAIN009,0.9340659340659341 (0.24954170447254354),0.8671875 (0.3407054688956916),0.6578947368421053 (0.4765091975715516)
TRAIN020,0.31645569620253167 (0.46806485956072247),0.0 (0.0),0.0 (0.0)
TRAIN030,0.8 (0.4068381021724862),0.896551724137931 (0.30993404669460345),0.9411764705882353 (0.24253562503633297)
TRAIN036,0.5769230769230769 (0.5038314736557788),0.9795918367346939 (0.14285714285714285),0.8163265306122449 (0.39123039821797584)
TRAIN038,0.5918367346938775 (0.4965869908241478),1.0 (0.0),0.9375 (0.24999999999999997)
TRAIN045,0.7333333333333333 (0.4497764451088036),0.6938775510204082 (0.46565731465733207),0.7777777777777778 (0.42163702135578385)
TRAIN047,0.76 (0.4358898943540673),0.9387755102040817 (0.24222607082590247),0.8775510204081632 (0.33120066055341796)
TRAIN055,0.9112903225806451 (0.2854776848082391),0.796875 (0.4039056372217744),0.9545454545454546 (0.20989507868443236)
TRAIN058,0.8203125 (0.3854355088676483),0.796875 (0.40390563722177436),0.9042553191489362 (0.2958184904168056)
TRAIN061,0.7733333333333333 (0.4214945523463591),0.8181818181818182 (0.38924947208076144),0.782608695652174 (0.4154928051118866)
TRAIN066,0.9555555555555556 (0.20723493215097802),0.984375 (0.12450690143095285),0.859375 (0.34900025945887525)
