Volume,dice_PED
TRAIN001,0.234375 (0.42527202966171956)
TRAIN010,0.5859375 (0.49449479110016603)
TRAIN011,0.10983043727173936 (0.26433382549574436)
TRAIN013,0.3104313592775725 (0.3124135329663265)
TRAIN015,0.5444913934916258 (0.34119995532718767)
TRAIN028,0.2403233401021179 (0.3754453509844446)
TRAIN029,0.46938775510204084 (0.5042337758225566)
TRAIN032,0.04081632653061224 (0.19991494790174602)
TRAIN041,0.22448979591836735 (0.42156979070537554)
TRAIN046,0.543419710835632 (0.3887769132445851)
TRAIN049,0.37113549816422164 (0.4295152645220805)
TRAIN050,0.6782431041356176 (0.3848956994538657)
TRAIN051,0.4296875 (0.49697658732223676)
TRAIN056,0.234375 (0.4269562819149833)
