vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.32 (0.05),0.36 (0.19),0.27 (0.12)
Spectralis,0.56 (0.03),0.79 (0.07),0.60 (0.02)
Topcon,0.24 (0.17),0.44 (0.07),0.37 (0.10)
