slice,dice_Background,dice_SRF,voxels_Background,voxels_SRF,union_Background,union_SRF,intersection_Background,intersection_SRF,binary_dice
Cirrus_TRAIN001_062.tiff,0.9969246983528137,0.5212831497192383,252495,1457,504662,3242,251555,845,0.5212831497192383
Cirrus_TRAIN001_063.tiff,0.997067391872406,0.48878151178359985,252677,1275,505007,2897,251763,708,0.48878151178359985
Cirrus_TRAIN001_064.tiff,0.9975625276565552,0.2503037750720978,253646,306,506258,1646,252512,206,0.2503037750720978
Cirrus_TRAIN001_065.tiff,0.9976217150688171,0.2711864411830902,253657,295,506252,1652,252524,224,0.2711864411830902
Cirrus_TRAIN001_066.tiff,0.9995350241661072,0.34078213572502136,253842,110,507546,358,253655,61,0.34078213572502136
Cirrus_TRAIN001_067.tiff,0.9997695684432983,0.0,253952,0,507787,117,253835,0,0.0
Cirrus_TRAIN001_068.tiff,0.9994661211967468,0.0,253952,0,507633,271,253681,0,0.0
Cirrus_TRAIN001_069.tiff,0.9997380971908569,0.0,253952,0,507771,133,253819,0,0.0
Cirrus_TRAIN001_070.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_071.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_072.tiff,0.9998975992202759,0.0,253952,0,507852,52,253900,0,0.0
Cirrus_TRAIN001_073.tiff,0.9999094009399414,0.0,253952,0,507858,46,253906,0,0.0
Cirrus_TRAIN001_074.tiff,0.9996671676635742,0.0,253952,0,507735,169,253783,0,0.0
Cirrus_TRAIN001_075.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_076.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_077.tiff,0.9998326301574707,0.0,253952,0,507819,85,253867,0,0.0
Cirrus_TRAIN001_078.tiff,0.99993896484375,0.0,253952,0,507873,31,253921,0,0.0
Cirrus_TRAIN001_079.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_080.tiff,0.9995725750923157,0.0,253952,0,507687,217,253735,0,0.0
Cirrus_TRAIN001_081.tiff,0.9997774958610535,0.0,253952,0,507791,113,253839,0,0.0
Cirrus_TRAIN001_082.tiff,0.9995923042297363,0.0,253952,0,507697,207,253745,0,0.0
Cirrus_TRAIN001_083.tiff,0.9999921321868896,0.0,253952,0,507900,4,253948,0,0.0
Cirrus_TRAIN001_084.tiff,0.9999153017997742,0.0,253952,0,507861,43,253909,0,0.0
Cirrus_TRAIN001_085.tiff,0.9999291300773621,0.0,253952,0,507868,36,253916,0,0.0
Cirrus_TRAIN001_086.tiff,0.9999921321868896,0.0,253952,0,507900,4,253948,0,0.0
Cirrus_TRAIN001_087.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_088.tiff,0.9993616938591003,0.0,253952,0,507580,324,253628,0,0.0
Cirrus_TRAIN001_089.tiff,0.9985606670379639,0.0,253952,0,507174,730,253222,0,0.0
Cirrus_TRAIN001_090.tiff,0.9994247555732727,0.0,253952,0,507612,292,253660,0,0.0
