Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.6053815028448214 (0.20607157345160643),0.6699624300003052 (0.2861606888126349),nan (nan)
TRAIN010,0.840611491133185 (0.16891931663336954),nan (nan),nan (nan)
TRAIN011,0.6351066748885548 (0.2221960195037184),0.7269374691858524 (0.16155854522874247),0.28010314694521105 (0.2283080385524008)
TRAIN013,0.45192903880443835 (0.25195302237211786),0.7162269045527164 (0.17410709285322326),0.3877606090496887 (0.19816266214382974)
TRAIN015,nan (nan),0.8373678234219551 (0.1289720740609608),0.687499423999162 (0.1294062545682577)
TRAIN028,nan (nan),0.7843020430633 (0.10975134351890727),0.47029228250242094 (0.3696299066542926)
TRAIN029,0.7436201064025655 (0.1311096029657852),0.8797711133956909 (0.05350362140244623),nan (nan)
TRAIN032,0.7005725363079383 (0.1260936729752315),0.8530828251558191 (0.12052699983557903),nan (nan)
TRAIN041,0.8185394207636515 (0.0926564572581694),nan (nan),nan (nan)
TRAIN046,0.6404645393292109 (0.20888553313564323),0.6682951549688975 (0.19161686300068262),0.7707816029296202 (0.17750376778855048)
TRAIN049,nan (nan),0.5018409067078641 (0.29465424235462356),0.5519193940121552 (0.18203101163717877)
TRAIN050,0.477882766643086 (0.24139553128480193),nan (nan),0.578474856574427 (0.2403685840982481)
TRAIN051,0.64806274066166 (0.1473834451579976),0.7607839459722693 (0.11593053627755226),nan (nan)
TRAIN056,0.6779472485736564 (0.3159225566147806),nan (nan),nan (nan)
