Volume,dice_IRF
TRAIN008,0.3392857142857143 (0.47775176948573744)
TRAIN017,0.36585365853658536 (0.4846328665668685)
TRAIN019,0.45652173913043476 (0.5008354224706333)
TRAIN021,0.573170731707317 (0.4976608941363029)
TRAIN023,0.578125 (0.4957992831114807)
TRAIN025,0.2631578947368421 (0.45241392835886407)
TRAIN031,0.7142857142857143 (0.4564354645876384)
TRAIN035,0.5714285714285714 (0.49999999999999994)
TRAIN037,nan (nan)
TRAIN053,0.20588235294117646 (0.41042563012190475)
TRAIN057,0.4609375 (0.5004304249705651)
TRAIN060,0.7 (0.460824858880028)
TRAIN065,0.8333333333333334 (0.3746343246326776)
TRAIN070,0.43434343434343436 (0.49819298288539554)
