Device,PSNR,SSIM,MSE
Cirrus,20.444768959435624 (0.5102250679910959),0.1812363315696649 (0.02626090599553603),0.009089293465103685 (0.0010768902184970124)
Spectralis,24.57895744680851 (1.5040431033886885),0.48447340425531915 (0.06340502049612068),0.0037215366446229805 (0.0015757414797044312)
T-1000,21.62811111111111 (0.9277575348020773),0.18773412698412698 (0.025361858185654066),0.007097976893881365 (0.002637340880444763)
T-2000,22.237623809523807 (0.5844796577627023),0.2463063492063492 (0.03748428127590734),0.006030232747573228 (0.0008760239287448876)
