Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.537406296173186 (0.24951911422813655),0.7090648215329438 (0.13724994578147987),0.5773195446415159 (0.31504008600873656)
Spectralis,0.5478341814130545 (0.24388562786065027),0.8281857187549273 (0.16730242048411714),0.5733077208368251 (0.2859208597710128)
Topcon,0.6470754013053681 (0.21194682299030626),0.6778553801856629 (0.1597902940151348),0.5830427888780833 (0.21731580329616546)
