Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.5113072341283489 (0.3315030405674842),0.8062177237843265 (0.11604637112051103),0.6607477515935898 (0.2573131141415348)
TRAIN007,0.5931617097059886 (0.1918709717982289),nan (nan),nan (nan)
TRAIN018,0.7978450258572897 (0.15941496171981884),nan (nan),nan (nan)
TRAIN022,0.6546486514745299 (0.11212316039415447),nan (nan),nan (nan)
TRAIN024,nan (nan),nan (nan),0.3503764368722151 (0.15855403807592294)
TRAIN026,0.8493929803371429 (0.06615549450666013),nan (nan),nan (nan)
TRAIN034,0.6591122458058019 (0.23033276379827744),nan (nan),nan (nan)
TRAIN040,0.664374092110881 (0.15668491730689454),0.7667578533291817 (0.1338336939972975),nan (nan)
TRAIN043,0.6913499997721778 (0.21106823702407693),0.7737011402845383 (0.19287590670763802),0.6121657523237025 (0.28161750950013154)
TRAIN044,0.7051775636417525 (0.15635691888740655),0.82758376399676 (0.20738537710756502),0.6665986511442397 (0.09392536522611364)
TRAIN052,0.4967230883027826 (0.2672317876110132),0.4254900709940837 (0.17037190832081994),nan (nan)
TRAIN054,0.5961447381659558 (0.13422632854507288),0.6681874224117824 (0.06243285912179564),nan (nan)
TRAIN059,0.6110943449395043 (0.20111130723111156),0.7050634562969208 (0.1316753935711093),nan (nan)
TRAIN069,nan (nan),0.054706357419490814 (0.0773664726106739),0.4706816453425611 (0.1718116983269278)
